9.3529,15.618,20.941,43.147,114.97,131.79,138.32,129.85,96.588,38.382,34.824,32.294,29.147,31.735,26.176,12.324,37.794,69.382,78.147,74.618,76.5,71.882,57.559,45.235,38.912,38.382,36.118,32.471,32.147,35.088,39.853,44.265,56.206,57.382,58.941,56.059,44.235,23.853,6.1765,12.941,31.294,94.441,108.44,110.32,99.971,53.206,20.735,18.088,22.059,20.265,31.059,33.529,34.088,27.324,22.176,12.353,6.0588,5.9706,33.529,91.441,104.59,99.176,93.471,57.294,23.676,17.147,19.706,22.912,27.176,53.029,73.618,73.529,49.118,23.353,2.9706,27.529,54.735,68.382,79.471,82.941,65.294,63.588,56.176,53.265,56.794,63.147,61.559,58.735,59.176,53.706,40.912,49.647,54.735,48.294,45,29.941,10.235,2.9118,12.353,62.382,85.618,94.529,103.68,100,92.412,83.324,69.824,41,3.0882
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088235,0.11765,0.14706,0.32353,0.79412,0.79412,0.88235,0.88235,0.79412,0.29412,0.26471,0.23529,0.20588,0.23529,0.20588,0.11765,0.35294,0.5,0.52941,0.52941,0.52941,0.5,0.41176,0.32353,0.29412,0.29412,0.26471,0.23529,0.23529,0.26471,0.29412,0.32353,0.41176,0.38235,0.41176,0.41176,0.32353,0.20588,0.058824,0.11765,0.26471,0.79412,0.79412,0.79412,0.79412,0.44118,0.17647,0.14706,0.17647,0.14706,0.23529,0.23529,0.23529,0.20588,0.20588,0.11765,0.058824,0.058824,0.29412,0.76471,0.76471,0.76471,0.79412,0.5,0.20588,0.14706,0.17647,0.20588,0.23529,0.44118,0.58824,0.58824,0.38235,0.20588,0.029412,0.23529,0.38235,0.5,0.58824,0.61765,0.47059,0.47059,0.41176,0.38235,0.41176,0.47059,0.44118,0.41176,0.44118,0.41176,0.29412,0.38235,0.38235,0.32353,0.32353,0.23529,0.088235,0.029412,0.11765,0.47059,0.55882,0.58824,0.64706,0.58824,0.55882,0.52941,0.44118,0.29412,0.029412
0.26471,0.26471,0.26471,0.26471,0.11765,0.11765,0,0,0,0.47059,0.47059,0.47059,0.47059,0.47059,0.47059,1.0588,4.9706,2.9412,2.3824,1.4412,0.73529,0.47059,0.26471,0.26471,0.11765,0.029412,0.029412,0.11765,0.11765,0.11765,0.26471,0.26471,0.26471,0.47059,0.47059,0.73529,1.4412,2.9412,19.882,0.73529,0.47059,0.47059,0.26471,0.26471,0.11765,0.11765,0.029412,1.0588,0.73529,0.47059,0,0.029412,0.029412,0.11765,0.26471,16.941,18.382,1.0588,1.0588,0.73529,0.73529,0.47059,0.47059,1.4412,1.8824,1.4412,1.0588,0.73529,0.47059,0.26471,0.11765,0.11765,0.11765,0.26471,18.382,7.5294,4.9706,2.9412,2.3824,1.8824,1.4412,1.0588,0.73529,0.73529,0.47059,0.47059,0.47059,0.47059,0.47059,0.47059,0.47059,0.47059,0.73529,1.4412,1.8824,2.3824,19.882,19.882,1.4412,1.0588,0.47059,0.47059,0.47059,0.26471,0.47059,0.47059,0.73529,1.4412,2.3824
23.059,21.441,19.882,1.4412,0.73529,0.73529,0.47059,0.47059,0.26471,0.26471,0.26471,0.26471,0.47059,0.47059,0.47059,0.73529,2.3824,1.4412,1.4412,1.0588,1.0588,0.73529,0.73529,0.47059,0.47059,0.26471,0.26471,0.26471,0.47059,0.47059,0.26471,0.47059,0.47059,0.73529,0.73529,1.0588,1.0588,1.0588,1.0588,18.382,0.26471,0.26471,0.47059,0.47059,0.47059,0.26471,0.47059,0.47059,0.47059,18.382,18.382,18.382,18.382,18.382,1.4412,1.0588,1.4412,19.882,0.26471,0.26471,0.26471,0.47059,0.26471,0.26471,0.11765,0.11765,0.11765,0.26471,1.0588,1.0588,1.0588,1.0588,1.4412,1.4412,0,2.9412,1.8824,1.4412,0.73529,0.26471,0.26471,0.26471,0.11765,0.11765,0.029412,0.029412,0.029412,0,0,0,0.029412,0.029412,0.11765,0.11765,0.11765,0.47059,0.73529,0,15.559,0.11765,0.029412,0.029412,0,0.029412,0.029412,0.029412,0.11765,0.26471,0
0.1,0.1,0.1,0.3,0.1,0.1,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
5,6,6,16,16,16,16,16,15,18,17,18,16,18,16,18,20,19,19,18,18,18,16,18,17,17,18,20,17,16,18,17,15,15,15,16,18,22,28,8,15,18,17,17,17,18,18,17,15,7,5,6,6,6,14,27,27,8,16,19,19,18,18,22,27,26,23,17,14,14,14,15,12,14,26,21,20,19,20,20,20,19,19,20,21,20,19,20,21,20,18,17,16,18,20,20,28,27,0,0,0,0,0,0,0,0,0,0,0
0.11765,0.54093,0.89225,0.85216,0.65819,0.51304,0.59246,0.4166,0.54941,0.58137,0.67681,0.65063,0.51502,0.55837,0.46362,0.11856,0.14103,0.45855,0.46275,0.56848,0.72874,0.77178,0.68222,0.6207,0.66436,0.58664,0.48264,0.50259,0.62291,0.66602,0.68195,0.63106,0.60284,0.57239,0.6671,0.57691,0.58263,0.4267,0,0.31034,0.42489,0.46432,0.41139,0.35275,0.40781,0.4529,0.45327,0.49303,0.56422,0.5858,0.8787,0.69102,0.61843,0.54464,0.20847,0.24254,0.083189,0.062392,0.38846,0.49062,0.37299,0.39088,0.26681,0.37131,0.36341,0.30466,0.31985,0.43582,0.4551,0.53083,0.72744,0.78706,0.79789,0.18822,0,0.3609,0.68356,0.52185,0.50727,0.44742,0.40292,0.6642,0.59685,0.57989,0.71863,0.81729,0.83285,0.83154,0.77696,0.80735,0.70089,0.73577,0.47316,0.58293,0.65733,0.39764,0.21209,0,0.10468,0.43266,0.81116,0.66346,0.85922,0.7826,0.79474,0.86271,0.7961,0.40947,0
0,-0.009452,-0.00043822,-0.020662,0.012177,0.008473,0.027048,-0.017801,-0.010189,0.0067987,0.0021489,0.0060295,0.015486,0.013749,0.00654,0.024951,-0.0048068,0.014089,0.02096,0.018933,0.012925,0.0078032,-0.0010745,0.0038704,0.0030188,0.00029303,0.0074191,0.0058442,0.011262,0.0018657,0.010012,0.0099138,0.0031484,0.04496,0.023646,0.016564,-0.011944,0.00046774,0,-0.0088466,-0.0038555,-0.021388,0.01831,0.014677,0.0052561,-0.00096155,-0.00011091,-0.022116,-0.010269,0.0081872,-0.0053939,0.0044793,0.013862,0.0059906,-0.014699,-0.0033917,0,0,-0.01673,-0.04317,0.023602,-0.0077133,-0.016638,-0.0098993,0.00010105,0.010182,0.0021265,-0.024343,-0.019427,-0.016541,-0.020605,-0.025913,-0.018471,0.017122,0,-0.011465,0.010848,0.0076081,-0.025987,0.024721,0.0020736,0.0023113,-0.0057764,-0.0002675,-0.0038563,-0.012482,-0.0054024,-0.0057404,-0.013882,-0.010012,0.0013752,-0.0062958,0.0063069,0.015277,0.013884,-0.023484,-0.013833,0,0.022601,0.013248,0.01989,0.023777,0.034424,0.038939,0.02535,0.023941,0.014299,0.012694,0
0.044118,0.048626,0.044621,0.06791,0.05798,0.070607,0.10757,0.079547,0.050896,0.047626,0.055109,0.061961,0.086833,0.064346,0.057066,0.060905,0.05409,0.072233,0.068778,0.064948,0.057516,0.069695,0.061646,0.048414,0.056541,0.048642,0.056131,0.050703,0.05486,0.039351,0.049919,0.056815,0.049598,0.14595,0.058459,0.064328,0.067833,0.04478,0,0.043469,0.045657,0.064891,0.097337,0.066547,0.05929,0.05116,0.051745,0.077112,0.052466,0.0358,0.042613,0.041948,0.053214,0.046484,0.057891,0.03389,0.029412,0.029412,0.057403,0.12956,0.094722,0.053687,0.081649,0.05304,0.045888,0.037408,0.055039,0.055459,0.051299,0.050811,0.060304,0.06817,0.054121,0.057291,0,0.054456,0.051392,0.06502,0.097458,0.090371,0.054389,0.056286,0.074018,0.05765,0.047703,0.051416,0.054697,0.056904,0.065932,0.050449,0.048557,0.054017,0.064925,0.064498,0.061606,0.062629,0.044118,0,0.058824,0.065698,0.059429,0.091136,0.089228,0.11414,0.079992,0.07319,0.051538,0.083324,0
