15.685,18.963,20.63,29.389,129.15,148.52,165.69,169.17,103.04,31.463,25.519,22.537,26.426,26.426,26.778,31.759,68.315,71.537,84.889,84.13,74.667,55.722,39.296,22.889,24.204,28.685,23.537,25.611,92.815,110.11,106.85,101.15,85.074,32.537,20.259,24.815,18.167,17.685,29.852,108.72,124.31,133.54,129.19,120.31,74.315,26.852,6.6481,2.2778,23.667,54.056,70.63,78,56.074,42.315,38.352,31.889,27.185,29.537,36.352,57.648,65.944,47.963,37.111,31.722,34.593,31.296,25,22.167,25.037,23.463,25.093,22.722,20.704,21.148,61.407,101.89,126.7,151.33,157.7,131.2,73.426,31.037,30.926,28.296,31.963,31.87,28.278,30.056,10.574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.092593,0.11111,0.11111,0.16667,0.66667,0.72222,0.77778,0.81481,0.62963,0.18519,0.16667,0.12963,0.14815,0.14815,0.14815,0.18519,0.37037,0.35185,0.42593,0.44444,0.40741,0.2963,0.22222,0.12963,0.14815,0.16667,0.12963,0.14815,0.5,0.51852,0.51852,0.5,0.46296,0.2037,0.11111,0.12963,0.11111,0.11111,0.16667,0.59259,0.61111,0.64815,0.61111,0.59259,0.44444,0.16667,0.037037,0.018519,0.12963,0.27778,0.33333,0.38889,0.2963,0.22222,0.2037,0.16667,0.14815,0.14815,0.2037,0.2963,0.33333,0.25926,0.2037,0.16667,0.18519,0.16667,0.12963,0.12963,0.14815,0.12963,0.14815,0.12963,0.11111,0.11111,0.38889,0.53704,0.62963,0.77778,0.75926,0.68519,0.42593,0.16667,0.16667,0.14815,0.16667,0.16667,0.14815,0.18519,0.074074
10.667,9.7963,9.7963,5.3519,3.6296,2.2407,1.1852,0.66667,0.46296,0.2963,0.16667,0.074074,0.018519,0.018519,0,0,0,0,0,0,0,0,0.074074,8.963,8.963,8.963,8.963,8.963,8.963,8.963,9.7963,10.667,12.519,12.519,31.13,34.241,34.241,10.667,10.667,0.66667,0.66667,0.66667,0.90741,1.1852,1.5,15.574,42.667,29.63,26.741,18.963,16.667,15.574,14.519,13.5,12.519,12.519,11.574,11.574,6.6852,4.7407,3.6296,3.6296,3.1296,10.667,11.574,11.574,12.519,1.8519,1.8519,1.8519,1.5,1.5,1.8519,2.2407,2.2407,2.2407,2.2407,2.2407,2.6667,3.1296,4.1667,12.519,12.519,12.519,12.519,12.519,12.519,11.574,11.574
0.16667,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,14.519,14.519,14.519,14.519,1.5,0.66667,0.46296,0.2963,0.16667,0.16667,0.2963,0.2963,0.46296,0.66667,0.66667,0.90741,0.90741,0.46296,0.2963,0.16667,0.16667,0.16667,0.2963,0.2963,0.2963,0.46296,0.2963,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,0.2963,0,1.5,0.90741,0.66667,0.2963,0.16667,0.074074,0.074074,0.018519,0.018519,0.018519,0.018519,0.018519,0.018519,0.018519,0.018519,0.074074,0.074074,0.16667,0.2963,0.2963,0.46296,1.1852,2.2407,11.574,11.574,11.574,0.2963,0.2963,0.074074,0.018519,0.018519,0.018519,0.018519,0,0,0.018519,0.018519,0.018519,0.074074,0.074074,11.574
0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.7,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.2,0.2,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
40,37,37,31,33,31,30,29,28,29,24,16,14,14,11,16,29,30,29,30,27,24,28,35,35,36,34,33,36,37,38,38,39,38,47,47,47,38,37,34,33,32,34,34,35,40,50,41,42,40,40,40,41,42,43,47,45,45,36,31,29,32,35,37,39,38,40,35,38,35,29,19,20,21,35,35,34,33,33,33,30,44,44,0,0,0,0,0,0
0.48123,0.4715,0.61046,0.56686,0.41655,0.45248,0.3173,0.35923,0.65558,0.59314,0.47335,0.60201,0.63997,0.45876,0.53248,0.73185,0.48698,0.42467,0.53221,0.48264,0.56187,0.58874,0.47245,0.54126,0.53534,0.52757,0.47705,0.65641,0.49173,0.43606,0.44344,0.31523,0.49706,0.59916,0.6853,0.62259,0.37438,0.39517,0.64752,0.50327,0.50622,0.50092,0.47397,0.44948,0.48543,0.53419,0.11785,0,0.29762,0.54809,0.31426,0.35706,0.71577,0.5439,0.68804,0.67428,0.57497,0.50975,0.74422,0.43797,0.44026,0.52635,0.53183,0.4788,0.69388,0.50975,0.48579,0.5508,0.44466,0.34612,0.5999,0.67761,0.41469,0.55006,0.57458,0.42793,0.39668,0.57178,0.28687,0.66253,0.57301,0.61313,0.50699,0.53608,0.47896,0.31777,0.43027,0.54068,0.38352
0.015098,-0.0069759,0.0045808,0.0009491,0.0036237,0.034689,0.026161,0.023074,-0.0092021,-0.0044585,-0.008549,-0.0061289,-0.0027185,0.002988,-0.0059994,-0.0029221,-0.00010721,0.032377,0.023863,0.014208,0.0092196,0.016707,0.0031752,0.0048906,-0.0022994,0.0070431,0.006756,-0.0080704,0.0075944,0.035868,0.035189,0.01615,0.016833,-0.014642,0.013047,0.021356,-0.0054962,0.019474,0.010703,0.0072113,0.019242,0.03034,0.021319,0.01915,-0.0014917,-0.010144,0,0,0.0039866,0.0061057,0.0066073,0.0028687,0.0067066,0.013085,0.0089936,0.0058405,0.0068739,0.0011627,0.0061919,0.020685,0.017775,0.012413,0.0042693,0.0044992,0.013028,0.0054689,-0.0060619,0.013975,0.010806,0.0066876,0.00087698,0.0086295,-0.0088584,0.02178,-0.017992,0.013616,0.027851,0.020232,0.023723,0.015776,-0.0024078,0.010453,0.0062529,0.013014,0.0084521,-0.022079,-0.0019468,-0.0064169,-0.014249
0.043309,0.027116,0.031754,0.039648,0.04612,0.12833,0.11444,0.080857,0.030805,0.040314,0.036564,0.041143,0.028007,0.035911,0.049445,0.02496,0.044422,0.10825,0.065616,0.056389,0.042079,0.055164,0.030432,0.034234,0.026475,0.041628,0.03199,0.046349,0.036958,0.13295,0.13333,0.079632,0.054657,0.040821,0.042131,0.055677,0.034237,0.055845,0.0366,0.040288,0.064302,0.092666,0.061551,0.07967,0.041598,0.03939,0.018519,0,0.026238,0.033494,0.047766,0.063934,0.037878,0.038495,0.036873,0.029826,0.03307,0.040358,0.02806,0.064186,0.070374,0.040475,0.034517,0.046798,0.038326,0.026716,0.033772,0.040064,0.034763,0.030912,0.022799,0.029305,0.032357,0.057426,0.055535,0.047568,0.12137,0.056656,0.12067,0.045312,0.037179,0.052749,0.027397,0.039431,0.045225,0.06761,0.044772,0.03709,0.03854
