23.686,28.629,58.4,181.11,202.94,214.63,212.89,170.26,76.743,70.314,60.429,62.857,58.086,62.514,29.886,45.971,96.257,115.37,128.91,146.43,137.8,96.771,70.571,55.314,54.143,52.971,42,37.657,38.029,42,42,37.743,49.686,55.429,70.057,89.6,120.03,147.71,138.46,121.03,96.629,58.657,4.4571,9.0286,23.971,88.629,178.8,197,200.54,188.49,78.229,47.629,47.429,39.029,30.343,18.486,10.771,27.971,31.114,46.257,151.03,210.6,210.14,193.74,146.11,47.629,27.914,15.4,19.429,110.29,195.63,207.29,221.34,192.09,91.371,67.029,66.429,69.543,77.6,61.4,35.343,18.143,4.5143,69.857,111.71,132.49,134.97,116.4,101.71,92.971,80.057,66.629,62.286,62.829,62.229,62.771,70,74.343,93.486,96,95.257,107.66,132.46,106.51,82.543
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11429,0.14286,0.28571,0.8,0.82857,0.88571,0.91429,0.8,0.34286,0.31429,0.25714,0.28571,0.25714,0.28571,0.14286,0.22857,0.42857,0.48571,0.54286,0.62857,0.65714,0.42857,0.31429,0.25714,0.25714,0.25714,0.2,0.17143,0.17143,0.2,0.2,0.17143,0.22857,0.25714,0.31429,0.4,0.54286,0.62857,0.57143,0.51429,0.42857,0.28571,0.028571,0.057143,0.11429,0.45714,0.77143,0.8,0.82857,0.82857,0.37143,0.2,0.2,0.17143,0.14286,0.085714,0.057143,0.14286,0.14286,0.22857,0.71429,0.88571,0.88571,0.85714,0.71429,0.22857,0.14286,0.085714,0.11429,0.57143,0.82857,0.85714,0.94286,0.88571,0.4,0.28571,0.28571,0.31429,0.34286,0.28571,0.17143,0.085714,0.028571,0.34286,0.48571,0.57143,0.6,0.51429,0.45714,0.42857,0.37143,0.31429,0.28571,0.28571,0.28571,0.28571,0.31429,0.34286,0.45714,0.42857,0.42857,0.48571,0.62857,0.48571,0.37143
0.71429,0.45714,0.45714,0.25714,0.11429,0.028571,0,0,0.45714,0.45714,0.71429,0.71429,0.71429,0.45714,0.45714,6.4286,3.4571,2.8571,2.3143,1.4,1.0286,1.0286,1.0286,0.71429,0.45714,0.45714,0.45714,0.71429,0.45714,0.25714,0.25714,0.45714,0.45714,0.45714,0.71429,0.71429,1.0286,1.4,1.8286,2.3143,3.4571,6.4286,11.429,0.45714,0.25714,0.11429,0.11429,0.25714,0.25714,0.25714,0.71429,19.314,19.314,20.829,20.829,20.829,20.829,0.25714,0.25714,0.25714,0.25714,0.11429,0.11429,0.11429,0.11429,0.25714,20.829,22.4,0.71429,0.45714,0.25714,0.11429,0.11429,0.028571,0.11429,1.0286,1.0286,0.71429,0.45714,0.45714,0.45714,25.714,11.429,4.1143,2.3143,1.8286,1.4,1.0286,1.0286,0.71429,0.71429,0.71429,0.45714,0.45714,0.45714,0.45714,0.45714,0.45714,0.45714,0.71429,0.71429,1.0286,1.4,1.4,1.8286
19.314,19.314,1.4,0.45714,0.45714,0.25714,0.25714,0.11429,0.11429,0.11429,0.11429,0.11429,0.25714,0.25714,19.314,4.1143,2.3143,1.8286,1.4,1.0286,0.71429,0.45714,0.45714,0.25714,0.25714,0.11429,0.11429,0.11429,0.11429,0.11429,0.11429,0.11429,0.11429,0.25714,0.25714,0.45714,0.45714,1.0286,1.4,1.8286,2.3143,2.8571,0,24.029,22.4,2.8571,1.0286,0.45714,0.25714,0.25714,0.11429,0.11429,0.11429,0.11429,0.25714,0.71429,1.0286,1.4,1.8286,1.8286,0.11429,0.11429,0.11429,0.25714,0.25714,0.25714,0.25714,0.45714,19.314,1.0286,0.25714,0.25714,0,0,0,0.028571,0.028571,0.028571,0.028571,0.11429,0.11429,0.11429,0,3.4571,2.3143,1.4,1.0286,0.71429,0.45714,0.25714,0.11429,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.11429,0.11429,0.11429,0.25714,0.25714,0.25714,0.45714
0.1,0.1,0.2,0.1,0.1,0.1,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
8,7,15,18,17,17,17,17,20,20,21,21,20,19,7,20,19,19,19,19,19,19,18,20,17,20,21,23,19,17,17,19,19,17,18,18,19,19,19,19,19,21,21,6,6,11,16,18,18,18,25,30,30,31,30,29,29,14,10,14,18,18,18,18,18,21,30,30,8,18,18,18,19,18,23,22,22,21,20,19,23,32,21,19,18,19,19,19,20,20,21,25,26,24,24,24,0,0,0,0,0,0,0,0,0
0.93935,0.56626,1.0127,0.49385,0.35316,0.44657,0.63171,0.89389,0.63851,0.93844,0.35857,0.90571,0.51019,0.79657,0.77733,0.70606,0.84466,0.44494,0.53183,0.62332,0.96593,0.86393,0.9161,0.98597,0.91842,0.8826,0.86473,0.60949,0.55473,0.82759,0.72637,0.25582,0.81329,0.90848,0.78146,0.78694,0.91562,0.58812,0.50934,0.72533,0.70093,0.81104,0,0.16162,0.86548,0.98897,0.65457,0.33767,0.37684,0.45173,0.99936,0.44214,0.59119,0.83097,0.97008,1.1144,0.060609,0.67895,0.62414,1.1241,0.95069,0.40873,0.61849,0.59557,0.90193,1.104,1.2025,0.75719,0.33806,0.93285,0.61542,0.51215,0.56365,0.91031,0.90105,0.71374,0.70647,0.68834,0.83631,0.85888,1.1846,0.19448,0,0.77216,0.65434,0.65804,0.89358,0.85484,0.76352,0.87548,0.90769,0.97545,1.1358,0.75274,0.6726,0.76417,0.6708,0.87529,0.89655,0.78581,0.83394,0.7885,0.77649,0.85838,0.55133
0.0016101,0.0093121,0.0055439,0.025865,0.065965,0.072923,0.042429,0.0038433,0.039553,0.036463,0.008969,0.033994,0.022847,0.024961,0.020219,0.021461,0.035346,0.041598,0.052168,0.046049,0.0064358,0.032621,0.023571,0.016067,0.015992,0.0020934,0.023534,0.012037,0.0059531,0.015345,-0.0060494,0.014454,-0.0012463,0.0031845,0.014745,0.027289,0.020179,0.037643,0.057158,0.054875,0.019169,0.01396,0,0,0.026056,-0.018095,0.048982,0.066701,0.054053,0.0062568,0.0051848,0.009264,0.033576,0.03024,0.01352,-0.00089689,0,0.0093705,-0.033236,-0.0089681,0.0093521,0.047697,0.061761,0.02222,-0.004003,-0.00064286,-0.0090205,0.0006601,0.025493,-0.02343,0.060511,0.0656,0.035358,0.013152,0.024291,0.042012,0.025091,0.01355,0.020753,0.020566,0.0067297,0.015879,0,0.026447,0.039237,0.039615,0.025917,0.02721,0.021988,0.013748,0.016402,0.0092472,0.016481,0.01239,-0.0045993,0.016352,0.020222,0.018445,0.0079334,0.016084,0.014962,0.020695,0.0095235,0.026844,0.012077
0.034022,0.035227,0.03737,0.11755,0.25037,0.3173,0.13374,0.042962,0.14962,0.094107,0.060678,0.083349,0.072798,0.077904,0.062344,0.068615,0.10049,0.11855,0.17177,0.14985,0.045925,0.091524,0.070276,0.045377,0.062126,0.044285,0.067944,0.057108,0.060101,0.076092,0.045936,0.042597,0.034646,0.039941,0.056366,0.085966,0.054675,0.10427,0.17028,0.18121,0.075394,0.054362,0,0.028571,0.061291,0.060196,0.17032,0.22607,0.22007,0.075534,0.041415,0.042334,0.084928,0.080817,0.072792,0.042857,0.028571,0.0621,0.08011,0.038582,0.050018,0.18971,0.22639,0.090069,0.044565,0.045461,0.048616,0.042857,0.059918,0.056677,0.20446,0.25078,0.10179,0.053673,0.062317,0.12062,0.073145,0.050852,0.049715,0.061715,0.041513,0.042857,0,0.078495,0.13072,0.12175,0.071807,0.072267,0.072616,0.059614,0.055398,0.04536,0.047862,0.049078,0.052442,0.064668,0.08091,0.05784,0.046718,0.063161,0.056056,0.068258,0.062261,0.073859,0.089749
