9.2917,13.792,15.375,15.708,15.229,26.167,31.813,35.229,34.021,43.833,42.271,37.167,21.479,10.396,18.875,64.458,140.06,153.4,156.56,149.63,119.96,18.667,8.6667,11.021,26.042,48.125,159.38,203.42,209.83,205.75,174.52,22.042,8.8542,5.625,5.1042,15.208,57.625,101.31,112.94,116.19,119.25,102.48,20.563,16.333,19.458,8.5,11.313,11.313,11.063,14.917,14.375,15.542,21.167,41.979,102.77,118.98,117.54,107.92,89.417,22.771,19.375,19.146,14.792,10.729,11.667,11.583,14.313,15.167,18.688,28.75,29.833,81.208,102.98,97.021,86.75,71.875,31.75,7.8542,19.708,30.229,34.021,33.563,39.292,52.792,49,41.208,27.729,8.6667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.083333,0.083333,0.083333,0.083333,0.16667,0.16667,0.1875,0.1875,0.22917,0.20833,0.1875,0.14583,0.083333,0.125,0.41667,0.72917,0.75,0.75,0.75,0.6875,0.10417,0.0625,0.083333,0.14583,0.29167,0.91667,1,1,1,1,0.14583,0.0625,0.041667,0.041667,0.10417,0.35417,0.5625,0.58333,0.58333,0.60417,0.58333,0.125,0.10417,0.125,0.041667,0.0625,0.0625,0.0625,0.083333,0.083333,0.083333,0.125,0.25,0.58333,0.58333,0.58333,0.54167,0.52083,0.14583,0.125,0.125,0.10417,0.0625,0.0625,0.0625,0.083333,0.083333,0.10417,0.16667,0.16667,0.5,0.52083,0.5,0.45833,0.4375,0.20833,0.0625,0.125,0.16667,0.1875,0.16667,0.20833,0.27083,0.25,0.20833,0.14583,0.0625
1.6875,1.6875,1.6875,2.0833,2.0833,0.083333,0.020833,0.020833,0.083333,0.083333,0.083333,0.083333,0.1875,11.021,9.1875,0.083333,0.083333,0.083333,0.083333,0.083333,0.1875,38.521,42.188,0.1875,0.1875,0.083333,0.020833,0,0,0,0,0,42.188,44.083,42.188,12,8.3333,7.5208,8.3333,8.3333,7.5208,7.5208,10.083,10.083,9.1875,9.1875,8.3333,8.3333,8.3333,7.5208,7.5208,7.5208,7.5208,7.5208,8.3333,8.3333,8.3333,10.083,10.083,10.083,10.083,9.1875,9.1875,8.3333,8.3333,8.3333,7.5208,7.5208,7.5208,7.5208,8.3333,10.083,10.083,12,13.021,13.021,27,6.0208,0.75,0.52083,0.52083,0.52083,0.52083,0.52083,0.52083,0.75,1.0208,1.6875
27,25.521,25.521,24.083,24.083,24.083,25.521,25.521,25.521,25.521,27,28.521,30.083,0.020833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833,0,0,0,0,0,0,0.020833,0.020833,0,0,13.021,13.021,13.021,13.021,13.021,13.021,13.021,0.020833,0.020833,0,0,0,0,0.020833,0,0,0,0,13.021,13.021,13.021,13.021,13.021,12,0,0.020833,0.020833,0.020833,0,0.020833,0.083333,0.083333,16.333,16.333,16.333,16.333,17.521,17.521,18.75,20.021,21.333,24.083,27
0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
11,12,12,13,13,9,7,7,8,8,8,7,7,41,35,24,29,29,29,29,30,46,47,26,23,19,25,25,25,25,25,22,47,48,47,42,35,34,35,35,34,34,32,38,35,23,22,22,22,22,22,22,30,32,35,35,35,36,35,37,36,35,37,22,22,22,22,22,22,31,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2711,0.49783,0.7729,1.0692,0.92895,0.79135,0.80313,0.73424,0.78886,0.77275,0.56352,0.77622,0.43563,0.28736,0.65986,0.69876,0.58222,0.5654,0.58059,0.57008,0.60565,0.66949,0.42098,0.22527,0.81763,0.80708,0.71035,0.43448,0.35351,0.36855,0.43113,0.63572,0.24414,0.029463,0.25043,0.72439,0.59834,0.62037,0.66351,0.37333,0.60898,0.36408,0.66141,0.49965,0.47519,0.088388,0.78644,0.72289,0.70249,0.65595,0.53589,0.61579,0.87109,0.75438,0.61072,0.4305,0.59099,0.5809,0.46793,0.54119,0.48502,0.44593,0.46375,0.8355,0.65628,0.74019,0.70452,0.95758,0.84106,0.74302,0.63142,0.60599,0.4802,0.55163,0.52924,0.66108,0.36047,0.26869,0.66021,0.86652,0.79775,0.434,0.66145,0.53111,0.55888,0.61823,0.59675,0.20868
-0.0019557,0.0039493,0.011126,0.012708,0.0033655,-0.0088953,0.015522,0.012827,0.0068432,0.0081074,0.016634,0.023315,-0.0015667,-0.020923,-0.016066,-0.011559,0.007998,0.033934,0.030959,0.035153,0.0033381,0.0071368,0.0061417,0.0015485,0.01478,-0.0061515,-0.0068853,0.03114,0.038676,0.05622,-0.00023333,-0.0067247,-0.012824,0,0,-0.010116,-0.003775,0.012142,0.020288,0.020148,0.031095,-0.0034987,0.011242,-0.0034619,-0.014823,0,-0.0049805,-0.014511,-0.0085693,0.0049527,0.011279,-0.012297,-0.0096218,0.0034769,0.0044853,0.035504,0.028123,0.035287,0.013942,0.0021233,-0.022815,-0.0016455,-0.010317,0.0031592,-0.014581,0.012544,0.0035585,0.011927,0.010269,0.0056958,0.001043,-0.0083444,0.031048,0.01905,0.016995,-0.0081162,0.017397,-0.010002,-0.018447,0.016098,0.013894,0.0042023,0.02541,0.0053517,0.034501,0.012328,0.0052657,-0.002536
0.03125,0.026057,0.042569,0.041852,0.028018,0.037462,0.0626,0.047896,0.031602,0.036076,0.055366,0.070105,0.032425,0.046692,0.038914,0.03828,0.043009,0.10032,0.093445,0.1091,0.054479,0.042193,0.03125,0.038834,0.039672,0.0372,0.043944,0.15154,0.19614,0.27735,0.054906,0.032629,0.03125,0.020833,0.020833,0.030273,0.042423,0.050458,0.065623,0.071118,0.093814,0.049347,0.033107,0.034766,0.054081,0.020833,0.03125,0.03125,0.03125,0.030124,0.038288,0.041971,0.040095,0.037963,0.037998,0.14665,0.087057,0.10797,0.052512,0.029797,0.06376,0.036264,0.03711,0.03125,0.03125,0.03125,0.026296,0.042846,0.03585,0.03824,0.031404,0.049805,0.12359,0.074451,0.07828,0.03431,0.067128,0.03125,0.043048,0.039001,0.041367,0.041773,0.07443,0.034256,0.096231,0.0443,0.035507,0.03125
