9.8333,29.569,45.722,60.972,73.361,90.208,112.39,125.63,129.01,129.71,127.33,97.972,41.444,31.139,28.167,25.722,14,11.25,13.417,22.653,77.056,97.889,99.972,102.21,103.35,86.347,42.653,28.625,25.75,11.542,7.6389,7.125,5.2361,12.167,17.472,27.958,68.278,86.708,90.639,87.611,82.819,38.792,5.6944,16.111,23.931,50.431,79.125,79.667,81.25,56.889,7.4722,4.5278,9.0417,14.889,12.389,11.694,15.903,16.222,12.056,1.9306,4.25,11.278,26.944,45.806,114.4,137.21,142.61,141.92,125.29,47.028,29.583,23.889,20.722,16.528,14.75,19.819,22.528,24.611,25.708,30.944,42.611,47.847,62.583,61.069,50.375,41.167,24.347,1.7361,29.931,36.681,40.319,48.028,47.431,34.167,29.167,26.236,25.653,21.236,22.819,24.069,45.417,69.264,77.208,77.681,68.944,29.875,13.222,10.194,9.3333,7.4583,1.6944,7.125,17.167,24.958,59.958,104.32,104.94,113.06,111.4,47.583,17.417,12.417,12.111,8.3472,9.9444,10.722,17.333,22.819,26.333,29.653,53.806,116.99,120.07,116.92,117.44,59.278,16.597,11.681,9.9861,8.625,26.194,48.708,59.917,72.625,75.542,70.736,67.319,65.042,58.694,50.181,34.528,27.417,26.319,26.069,23.25,25.556,30.444,34.542,32.861,32.597,32.75,26.875,12.347,9.9722,31.153,42.986,54.403,61.083,64.361,55.694,44.833,38.125,24.444,22.208,27.722,33.681,31.375,30.444,29.764,30.458,36.25,33.653,30.861,25.361,21.319,4.3333,10.889,20.361,32.264,75.069,83.931,87.083,89.778,79.306,25.347,15.361,17.806,9.2222,8,10.764,11.556,10.792,19.167,30.222,30.194,38.25,77.25,78.097,75.361,73.417,51.389,13.083,3.8056,6.25,4.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069444,0.15278,0.23611,0.30556,0.375,0.43056,0.51389,0.55556,0.56944,0.56944,0.58333,0.52778,0.22222,0.16667,0.13889,0.13889,0.069444,0.055556,0.069444,0.125,0.41667,0.47222,0.47222,0.47222,0.48611,0.5,0.23611,0.13889,0.13889,0.069444,0.041667,0.041667,0.027778,0.069444,0.097222,0.15278,0.36111,0.40278,0.40278,0.38889,0.40278,0.25,0.041667,0.083333,0.125,0.29167,0.38889,0.38889,0.38889,0.34722,0.041667,0.027778,0.055556,0.083333,0.069444,0.055556,0.083333,0.083333,0.069444,0.013889,0.027778,0.055556,0.15278,0.26389,0.63889,0.66667,0.66667,0.66667,0.68056,0.27778,0.16667,0.13889,0.125,0.097222,0.083333,0.11111,0.11111,0.125,0.125,0.15278,0.22222,0.23611,0.31944,0.29167,0.25,0.20833,0.13889,0.013889,0.18056,0.19444,0.20833,0.23611,0.25,0.18056,0.15278,0.13889,0.13889,0.11111,0.125,0.125,0.26389,0.36111,0.375,0.38889,0.36111,0.16667,0.069444,0.055556,0.055556,0.041667,0.013889,0.041667,0.097222,0.13889,0.34722,0.52778,0.51389,0.55556,0.56944,0.27778,0.097222,0.069444,0.069444,0.041667,0.055556,0.055556,0.097222,0.125,0.13889,0.15278,0.30556,0.61111,0.59722,0.59722,0.61111,0.34722,0.097222,0.069444,0.055556,0.041667,0.15278,0.23611,0.29167,0.375,0.38889,0.375,0.34722,0.33333,0.30556,0.26389,0.18056,0.15278,0.13889,0.13889,0.125,0.13889,0.16667,0.18056,0.16667,0.16667,0.16667,0.13889,0.083333,0.069444,0.16667,0.20833,0.26389,0.29167,0.31944,0.29167,0.22222,0.20833,0.13889,0.125,0.16667,0.18056,0.16667,0.16667,0.16667,0.16667,0.19444,0.16667,0.16667,0.13889,0.125,0.027778,0.069444,0.11111,0.16667,0.38889,0.38889,0.41667,0.41667,0.41667,0.15278,0.083333,0.097222,0.055556,0.041667,0.055556,0.055556,0.055556,0.097222,0.15278,0.15278,0.20833,0.375,0.375,0.36111,0.34722,0.29167,0.083333,0.027778,0.041667,0.027778
13.347,11.681,10.889,10.125,10.125,4.5,4.5,3.5556,2.7222,2.7222,2.3472,2,2,1.125,1.125,0.88889,0.88889,0.88889,0.68056,0.68056,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.68056,0.68056,1.3889,33.347,33.347,33.347,9.3889,9.3889,8.6806,8.6806,8.6806,8.6806,8.6806,8,8.6806,10.889,10.125,9.3889,9.3889,8.6806,8.6806,8.6806,9.3889,34.722,34.722,10.889,10.125,10.125,9.3889,8.6806,8.6806,8.6806,10.125,10.125,9.3889,8.6806,8.6806,8,8,7.3472,7.3472,7.3472,9.3889,9.3889,8.6806,8,8.6806,8,8,8,8,8,8,8,8.6806,8.6806,9.3889,10.125,10.889,13.347,17.014,10.889,10.889,10.125,9.3889,8.6806,8.6806,8,7.3472,7.3472,7.3472,7.3472,7.3472,7.3472,7.3472,8.6806,8,9.3889,10.125,30.681,30.681,29.389,30.681,33.347,32,8.6806,8,7.3472,2.3472,2,1.6806,1.3889,0.88889,0.68056,0.68056,0.5,0.34722,0.22222,0.22222,0.34722,0.34722,0.34722,0.34722,0.34722,0.5,0.68056,0.68056,0.68056,0.88889,0.5,0.22222,0.125,0.125,0.055556,0.013889,0.013889,0,0,0,0,0,0.013889,0.013889,0.125,0.22222,6.7222,6.7222,7.3472,7.3472,7.3472,7.3472,8,8,8.6806,9.3889,11.681,17.014,13.347,11.681,10.125,9.3889,8.6806,8,8,7.3472,7.3472,6.7222,6.7222,6.125,6.7222,6.7222,6.7222,6.7222,7.3472,7.3472,8,8.6806,9.3889,25.681,8.6806,8,7.3472,7.3472,6.7222,6.125,6.125,6.125,7.3472,8,7.3472,7.3472,6.7222,6.7222,6.7222,6.7222,6.7222,6.125,6.7222,6.7222,7.3472,7.3472,8,8.6806,11.681,19.014,30.681,32,32
4.0139,4.0139,3.5556,3.125,3.125,4.0139,4.0139,3.5556,4.0139,4.0139,4.0139,4.0139,4.0139,4.0139,4.0139,4.0139,48.347,50,50,23.347,6.125,5.0139,5.0139,5.0139,5.0139,4.5,4.5,5.0139,5.0139,5.5556,5.5556,5.5556,6.125,6.7222,6.7222,6.7222,4.5,4.5,4.5,5.0139,5.0139,5.0139,5.0139,5.0139,5.0139,4.5,5.0139,5.0139,5.0139,5.0139,5.0139,5.5556,5.5556,5.5556,5.5556,24.5,23.347,23.347,24.5,0,25.681,24.5,0.125,0.013889,0,0,0.013889,0.013889,0,0,0,0,0.013889,0.013889,5.5556,5.5556,6.125,6.125,6.7222,6.7222,6.7222,7.3472,8,8.6806,10.125,11.681,13.347,0,6.7222,6.125,6.125,6.125,5.5556,5.5556,5.5556,6.125,6.125,6.7222,7.3472,8,7.3472,6.7222,5.5556,5.5556,5.5556,5.5556,5.5556,6.125,6.7222,6.7222,0,6.125,6.125,6.125,6.7222,6.125,6.125,6.125,6.125,6.125,6.7222,6.7222,6.7222,56.889,56.889,56.889,26.889,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.125,6.125,6.125,7.3472,58.681,60.5,13.347,10.889,10.125,8.6806,8,7.3472,6.7222,6.7222,6.7222,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.7222,7.3472,8,8,8.6806,9.3889,14.222,11.681,10.889,9.3889,8.6806,8,7.3472,7.3472,6.7222,6.7222,6.7222,6.125,6.125,6.125,6.125,6.125,6.7222,6.7222,7.3472,7.3472,8,8.6806,10.125,6.125,6.125,6.125,6.125,6.7222,6.125,6.125,6.125,6.7222,6.7222,6.125,6.7222,30.681,29.389,29.389,29.389,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.7222,6.125,6.7222
0.2,0.2,0.2,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.1,0.5,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1
45,43,44,44,43,39,37,37,35,35,35,32,27,27,25,25,11,11,10,19,34,34,34,34,34,34,29,27,27,35,51,51,51,37,37,37,40,40,40,40,39,37,45,37,37,40,40,40,40,40,52,52,41,37,34,29,29,29,28,28,29,29,46,51,48,49,48,48,48,51,53,51,47,46,35,36,36,37,35,35,36,37,37,37,37,36,37,36,41,41,40,40,41,41,40,38,38,36,36,34,36,37,39,39,40,40,50,50,49,49,50,50,40,38,37,33,32,32,31,27,21,25,25,7,7,7,16,23,24,22,28,29,29,29,30,26,32,15,6,5,26,28,30,30,30,30,29,28,27,27,32,35,38,38,40,36,37,34,35,35,36,36,38,38,38,37,37,37,37,37,37,37,39,38,38,37,38,38,38,36,35,34,36,36,36,45,41,38,35,38,37,37,37,37,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20824,0.351,0.40736,0.46768,0.49472,0.43655,0.28138,0.25969,0.33398,0.2955,0.29369,0.45082,0.42017,0.52963,0.43458,0.49221,0.45913,0.29583,0.5721,0.53978,0.39993,0.41468,0.30566,0.29698,0.29336,0.53041,0.57879,0.21945,0.4711,0.59442,0.27264,0.39553,0.28481,0.39141,0.42761,0.53171,0.45335,0.26764,0.32912,0.19499,0.27625,0.33686,0.18754,0.44511,0.51991,0.5314,0.37115,0.3528,0.26036,0.39803,0.53039,0.54997,0.38596,0.48866,0.63871,0.36545,0.52992,0.50313,0.4295,0,0.27499,0.38002,0.46569,0.46181,0.37832,0.41436,0.38597,0.27219,0.44906,0.49547,0.47866,0.45441,0.58711,0.44625,0.39898,0.47117,0.50997,0.45317,0.39802,0.32616,0.58458,0.46858,0.46364,0.37297,0.40037,0.39357,0.40883,0,0.41237,0.50348,0.4714,0.42552,0.4984,0.53911,0.45195,0.57781,0.43292,0.35762,0.33558,0.43062,0.45325,0.41427,0.27986,0.25269,0.27177,0.44164,0.24347,0.31864,0.34768,0.41667,0,0.57752,0.52238,0.53899,0.40229,0.38503,0.34213,0.34441,0.30046,0.48891,0.35927,0.46246,0.5589,0.35173,0.48947,0.48005,0.54402,0.41067,0.35052,0.35155,0.4234,0.42349,0.36139,0.36563,0.36801,0.41001,0.27705,0.67274,0.70687,0.13394,0.4145,0.41422,0.28574,0.44042,0.43905,0.44565,0.37451,0.36747,0.47374,0.46065,0.32081,0.50121,0.4967,0.42969,0.36191,0.40078,0.48208,0.42368,0.44195,0.41373,0.46788,0.43109,0.41064,0.24248,0.46922,0.49503,0.37358,0.39751,0.39444,0.53357,0.31166,0.4339,0.37714,0.36589,0.50801,0.47448,0.45847,0.46656,0.46645,0.45254,0.47644,0.39152,0.48508,0.47014,0.33131,0.058926,0.42417,0.51465,0.45457,0.43601,0.26713,0.36155,0.29078,0.34098,0.43596,0.47326,0.48122,0.49262,0.4873,0.48037,0.31242,0.37601,0.43704,0.49175,0.43679,0.51152,0.28653,0.26679,0.35162,0.3132,0.49415,0.43435,0.058926,0.34049,0.098209
-0.015104,0.0018092,0.0074267,0.0097153,0.0075941,0.013065,0.0040494,0.034053,0.028691,0.024891,0.01872,0.0083747,0.0019116,0.0073224,0.017701,0.0033477,0.014102,-0.0023701,0.001024,0.0038324,0.0063654,0.02016,0.020606,0.025625,0.016664,-0.00558,0.0040602,-0.0039163,0.0046401,-0.0051278,-0.0098209,0.0051372,0,0.014192,-0.0017895,0.0011797,0.0041146,0.025942,0.026254,0.0024955,0.0155,-0.014734,0.00062948,0.012831,0.0050013,-0.0045459,0.019837,0.010254,0.024086,-0.011348,-0.0053028,0,0.0040378,-0.0025514,0.0046491,0.0057682,0.013679,0.015183,0.0034429,0,0,-0.0038753,-0.0046901,-0.0049402,-0.00071839,0.013965,0.020795,0.0067403,-0.0014292,-0.0029078,-0.0033656,-0.0075866,-0.003714,-0.010584,0.0033434,0.010443,0.0098784,0.0023547,0.0066378,0.0043647,0.0069108,0.013063,0.0046961,0.013791,0.014943,0.013207,0.00071571,0,0.00050535,0.0021652,0.0088384,0.016086,0.006321,0.007074,0.0074028,0.0044997,-0.0019725,-0.001811,-0.00076004,0.014935,-0.0010543,0.0072969,0.033847,0.013451,0.01741,-0.0037792,0.006739,-0.013447,0.012513,0,0,0.0080067,0.0038224,0.0052258,-0.0090198,0.0087,0.013482,0.018093,0.0072122,0.0026339,0.0059486,0.0063124,-0.0055777,0.0045422,-0.00040377,0.009545,0.00091659,-0.00075296,0.0041428,-0.0013689,-2.9569e-05,0.0073662,0.0078403,0.0087635,0.0057272,2.4103e-05,0.0012687,-0.003292,-0.002739,-0.0087626,-0.011516,0.020832,0.015325,0.014765,0.012997,0.0085551,0.0096196,0.015631,0.013398,0.013039,0.0063364,-0.0014253,-0.0022124,0.009072,0.00049894,0.0032895,0.00018804,0.012501,0.01095,0.0065438,0.0098858,0.0058622,-0.0067997,-0.010547,0.0023755,0.01552,0.0044637,0.01908,0.0087593,0.0069597,0.0039155,0.00050194,0.006894,0.004605,-0.0040514,0.014572,0.012108,0.0043163,0.0049909,0.0053824,0.0033173,0.0092921,0.0058833,0.006785,-0.0049742,0,-0.0011145,0.0014296,0.0047692,0.003283,0.010806,0.020006,0.025267,0.0015665,-0.002814,0.0088476,0.0005202,0.00030695,0.0066816,0.0026099,0.0036493,-0.0023445,0.0071542,0.010332,0.0074473,0.0043769,0.0029684,0.0044681,0.010042,0.012674,0.0015653,-0.0074438,0,-0.0010391,0
0.039708,0.023838,0.025205,0.031908,0.030179,0.03968,0.029379,0.14017,0.12361,0.10974,0.073925,0.028613,0.022744,0.023598,0.056918,0.019059,0.035209,0.021049,0.021028,0.02492,0.036837,0.058108,0.073333,0.10918,0.055062,0.022509,0.017705,0.02153,0.028158,0.017033,0.020833,0.020833,0.013889,0.038404,0.023313,0.026472,0.03204,0.11038,0.11083,0.025812,0.072269,0.051218,0.020833,0.03935,0.023534,0.023602,0.064044,0.038936,0.077628,0.050642,0.020833,0.013889,0.019317,0.022723,0.018722,0.021313,0.032542,0.036237,0.027894,0,0.013889,0.018951,0.024663,0.022337,0.029104,0.046993,0.072961,0.044963,0.024498,0.023529,0.03714,0.033066,0.01729,0.026004,0.020849,0.028823,0.032118,0.024185,0.032253,0.029796,0.025558,0.0426,0.023019,0.048298,0.05212,0.038105,0.027805,0,0.02398,0.022998,0.0312,0.054149,0.02503,0.026443,0.027902,0.019944,0.024742,0.023645,0.020121,0.050208,0.027721,0.029056,0.14917,0.066467,0.071325,0.022049,0.029947,0.03083,0.029082,0.020833,0,0.020833,0.021008,0.019659,0.04171,0.044333,0.0514,0.068814,0.044098,0.018566,0.045113,0.026482,0.025151,0.020833,0.018763,0.027778,0.019688,0.029525,0.026886,0.02965,0.02387,0.032406,0.040401,0.039883,0.045877,0.02492,0.020653,0.017128,0.020855,0.020833,0.031266,0.061144,0.058612,0.042561,0.039513,0.032186,0.040485,0.052453,0.041761,0.036007,0.028977,0.02998,0.02609,0.034993,0.02077,0.023567,0.035604,0.033834,0.029845,0.035655,0.031448,0.032628,0.023604,0.030625,0.02795,0.044514,0.030194,0.057436,0.035633,0.030467,0.023652,0.033644,0.026737,0.033489,0.024226,0.033226,0.031763,0.024524,0.025162,0.021086,0.021697,0.027233,0.026916,0.02891,0.036781,0.013889,0.019722,0.0229,0.022779,0.022007,0.035083,0.071362,0.093393,0.045677,0.030793,0.02541,0.020987,0.014659,0.020833,0.023858,0.018925,0.016993,0.040112,0.034115,0.026661,0.023153,0.028258,0.050883,0.041354,0.052717,0.026294,0.023133,0.013889,0.020833,0.013889
