15.041,49.143,65.918,81,93.592,98.306,94.184,68.673,57.51,44,39.49,36.673,36.408,32.939,34.735,35.061,38.367,37.592,33.02,27.061,8.3469,11.367,62.122,93.939,117.35,122.02,103.86,76.163,22.429,17.98,16.939,13.367,12.878,9.8571,21.49,30.082,44.857,99.204,118.27,124.86,107.55,85.245,28.49,8.102,5.1429,18.163,29.735,52.612,158.86,200.43,202.14,163.51,46.939,11.673,8.6735,39.571,93.388,115.61,128.45,128.04,113.84,67.408,51.061,38.49,40.837,39.918,36.163,31.163,29.898,19.531,2.551,25.429,51.327,77.592,88.429,89.653,72.163,65.592,50.163,42.673,35.49,34.959,37.143,33.388,33.184,36.959,40.837,49.735,55.306,54.673,49.531,44.388,28.776,2.5714
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10204,0.30612,0.34694,0.38776,0.44898,0.4898,0.5102,0.38776,0.32653,0.2449,0.22449,0.20408,0.20408,0.18367,0.20408,0.20408,0.22449,0.22449,0.20408,0.18367,0.061224,0.081633,0.42857,0.53061,0.55102,0.57143,0.57143,0.5102,0.12245,0.10204,0.10204,0.081633,0.081633,0.061224,0.14286,0.18367,0.26531,0.57143,0.59184,0.59184,0.55102,0.53061,0.20408,0.061224,0.040816,0.12245,0.18367,0.32653,0.91837,0.93878,0.95918,0.95918,0.30612,0.081633,0.061224,0.26531,0.55102,0.57143,0.59184,0.63265,0.63265,0.36735,0.28571,0.20408,0.22449,0.22449,0.20408,0.18367,0.20408,0.14286,0.020408,0.18367,0.28571,0.38776,0.42857,0.46939,0.38776,0.36735,0.28571,0.2449,0.20408,0.20408,0.22449,0.20408,0.20408,0.22449,0.2449,0.28571,0.30612,0.28571,0.26531,0.2449,0.18367,0.020408
12.755,9.8776,9,7.3673,6.6122,5.898,5.898,5.898,5.2245,5.2245,5.2245,4.5918,4.5918,4.5918,4.5918,5.2245,5.2245,5.2245,5.898,6.6122,26.449,5.898,5.898,5.898,5.898,5.898,5.898,5.898,31.041,32.653,32.653,34.306,32.653,32.653,6.6122,5.898,5.898,5.898,5.898,5.898,6.6122,7.3673,22.224,34.306,0.18367,0.18367,0.081633,0.081633,0.020408,0.020408,0,0,0,37.735,9,8.1633,7.3673,6.6122,6.6122,5.898,5.898,5.898,7.3673,9,8.1633,8.1633,8.1633,8.1633,0.18367,0.18367,0.32653,18.367,16,12.755,11.755,10.796,9.8776,9,9,9,9,8.1633,8.1633,8.1633,8.1633,8.1633,9,9,9,9.8776,10.796,11.755,12.755,14.878
7.3673,2.9388,2.4694,2.4694,1.6531,1.3061,1,0.73469,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,0.73469,0.73469,1,1.3061,2.0408,16,2.4694,0.73469,0.5102,0.32653,0.32653,0.32653,0.32653,0.32653,0.32653,0.32653,0.5102,0.73469,0.73469,1,0.73469,0.32653,0.18367,0.18367,0.32653,0.32653,0.32653,0.5102,0.32653,0.32653,0.32653,0.18367,0.18367,0.081633,0.081633,0.081633,0.081633,0.081633,12.755,0.73469,0.18367,0.18367,0.081633,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.081633,0.18367,0.32653,12.755,0,2.0408,1,0.5102,0.32653,0.18367,0.081633,0.081633,0.020408,0.020408,0.020408,0.020408,0,0.020408,0.020408,0.020408,0.020408,0.020408,0.081633,0.081633,0.18367,0.18367,0.32653,0
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.4,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1
28,30,30,29,30,30,30,31,32,33,33,32,32,31,30,31,29,29,30,31,38,20,28,31,31,32,32,32,43,43,43,44,43,42,32,29,31,32,32,32,32,33,40,43,25,25,22,25,24,25,24,24,23,46,23,33,33,33,33,33,33,32,34,37,35,35,34,33,22,13,5,35,36,35,35,35,35,35,36,37,36,36,37,36,36,34,0,0,0,0,0,0,0,0
0.14759,0.37519,0.49392,0.59999,0.60951,0.64338,0.51716,0.70186,0.77626,0.66929,0.70486,0.70905,0.71853,0.62778,0.5781,0.49373,0.53588,0.51121,0.3897,0.29256,0.2163,0.22441,0.32025,0.37152,0.44825,0.43874,0.40519,0.6202,0.7562,0.62126,0.64018,0.57419,0.47024,0.30201,0.35697,0.49306,0.63301,0.57459,0.56814,0.58756,0.33663,0.31789,0.36204,0.15317,0.057723,0.29621,0.46048,0.62298,0.50578,0.4206,0.3913,0.33617,0.42204,0.28717,0.15453,0.41889,0.48643,0.50506,0.44594,0.50763,0.6143,0.68188,0.73375,0.60885,0.74216,0.68941,0.62561,0.58306,0.46351,0.17584,0,0.17139,0.51806,0.66999,0.57221,0.71622,0.68562,0.71307,0.80977,0.74919,0.77691,0.76349,0.6994,0.68341,0.683,0.61687,0.55428,0.40091,0.64944,0.63397,0.67282,0.58957,0.25099,0
-0.017233,0.00017024,0.011919,0.020126,0.031324,0.015139,-0.0038991,0.0016425,-0.0042203,-0.004729,-0.0061946,-0.0061822,-0.0040908,-0.0011382,-0.00054273,0.0075512,0.0012568,0.0046634,0.0032157,0.0052991,0.0057499,-0.0011631,-0.034302,0.010846,0.033499,0.040183,-0.023862,-0.031304,-0.0024516,0.0056712,0.0056627,0.013595,-0.00062775,-0.013766,-0.00022672,0.0085554,0.00063134,-0.011642,0.020649,0.039516,0.01379,-0.02069,-0.013874,-0.0016618,0,-0.013518,-0.013518,-0.012192,-0.014249,0.035992,0.036145,-0.019811,-0.012551,0.0015563,0.013306,-0.020157,-0.0094381,0.01868,0.034899,0.023241,-0.00862,-5.5934e-05,0.00034973,0.0045652,0.0014414,0.0038601,0.0050025,-0.0039645,-0.015189,0.0035383,0,0.0079172,0.012053,0.01703,0.011396,-7.4784e-05,0.0025848,-0.011858,-0.0075957,-0.0075858,-0.010558,-0.0098587,-0.016254,-0.017737,-0.01556,-0.017086,-0.01225,-0.013409,0.013648,0.0072554,0.0045429,0.0042577,-0.0010929,0
0.048135,0.040695,0.052661,0.062583,0.086091,0.059795,0.04016,0.035488,0.036496,0.039553,0.035071,0.032978,0.035289,0.034417,0.033478,0.040376,0.036386,0.039732,0.03556,0.024727,0.030612,0.031151,0.10828,0.069954,0.10315,0.12837,0.081038,0.086618,0.030868,0.027897,0.028587,0.039304,0.022042,0.030612,0.028203,0.033008,0.031055,0.050191,0.09132,0.12444,0.10728,0.095759,0.034893,0.030612,0.020408,0.051888,0.052811,0.052138,0.069702,0.16676,0.17331,0.069636,0.047875,0.028378,0.030612,0.062978,0.061902,0.089099,0.13456,0.10167,0.036555,0.038052,0.029585,0.030276,0.032018,0.029639,0.035785,0.038985,0.040252,0.032991,0,0.041376,0.04329,0.048923,0.054058,0.034493,0.045647,0.04588,0.039917,0.037229,0.044603,0.046783,0.055927,0.055721,0.054128,0.058982,0.058551,0.063548,0.046488,0.038987,0.041471,0.038057,0.057825,0
35.867,11.808,7.2222,4.6105,4.0474,4.3433,5.4154,7.7895,9.2794,11.59,13.182,13.691,13.927,15.133,15.418,15.127,14.015,14.591,16.945,21.533,59.333,46.3,10.004,5.7749,3.0026,2.8596,5.0517,8.1323,20.524,26.267,29.667,36.5,38.9,47,26.143,18.244,12.275,5.6133,3.6782,2.9356,4.2725,6.9886,20.982,61.333,86,30.476,18.622,11.044,3.5662,1.766,1.844,3.5222,12.708,44.8,56.667,15.121,6.1085,3.633,2.531,3.2883,4.6915,7.5263,10.171,12.073,12.182,12.864,14.145,17.067,19.727,29.571,130,23.311,10.048,5.4895,4.4242,5.3333,6.8895,8.0468,10.59,12.423,14.745,15.218,14.924,16.618,16.8,15.061,13.577,10.79,9.2917,8.4857,9.7582,11.346,19.667,129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
