15.344,26.906,54.625,137.03,171.66,180.16,179.13,113.78,65.156,45,45.063,48.938,45.063,41.875,37.375,9.5313,15.063,30.719,48.375,74.063,161.53,167.72,168.53,166.41,123.88,33.5,30.156,40.344,44.688,41.188,41.688,47.063,44.094,21.563,13.281,55.75,84.75,98.438,115.41,114.44,74.688,57.844,51.625,42.875,30.094,26.25,27.094,31.125,27.938,32.188,28.094,31.844,32.563,38.156,45.75,63,83.813,126.34,123.94,108.97,78.563,53.063,17.406,22.656,49.469,151.06,164.66,161.63,172.59,95.594,31.813,26.156,21.656,22.875,17.219,16.719,10.531,9.9063,33.25,33.125,48.531,164.88,185.78,184.59,181.22,129.38,20.75,18.531,24.438,151.75,158.5,160.41,168.88,142.59,64.219,27.875,19.094,23.031,17.813,16.125,15.969,20.281,32.063,37.563,129.66,164.75,142.94,114.38,88.5,19.5,7.6875,66.438,106.91,120.41,131.34,111.53,100.28,75.875,70.156,73.844,53.906,51.5,58.219,69.156,75.688,73.313,75.125,77.25,79.25,76.906,71.5,52.5,20.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09375,0.15625,0.34375,0.75,0.875,0.9375,0.9375,0.6875,0.40625,0.25,0.25,0.28125,0.25,0.25,0.21875,0.0625,0.09375,0.1875,0.28125,0.40625,0.875,0.875,0.90625,0.90625,0.78125,0.21875,0.1875,0.25,0.25,0.25,0.21875,0.25,0.25,0.125,0.09375,0.3125,0.4375,0.53125,0.625,0.65625,0.40625,0.3125,0.28125,0.25,0.1875,0.15625,0.15625,0.1875,0.15625,0.1875,0.15625,0.1875,0.1875,0.21875,0.25,0.34375,0.4375,0.6875,0.625,0.5625,0.4375,0.3125,0.125,0.125,0.3125,0.78125,0.875,0.875,0.90625,0.5625,0.1875,0.15625,0.125,0.125,0.09375,0.09375,0.0625,0.0625,0.21875,0.1875,0.3125,0.90625,0.90625,0.90625,0.90625,0.78125,0.125,0.125,0.15625,0.8125,0.84375,0.875,0.90625,0.8125,0.40625,0.15625,0.125,0.125,0.09375,0.09375,0.09375,0.15625,0.1875,0.21875,0.78125,0.875,0.8125,0.625,0.53125,0.125,0.0625,0.375,0.53125,0.59375,0.6875,0.59375,0.5625,0.40625,0.375,0.40625,0.28125,0.28125,0.3125,0.375,0.40625,0.375,0.40625,0.40625,0.4375,0.4375,0.40625,0.28125,0.125
0.78125,0.78125,0.28125,0.28125,0.125,0.03125,0.03125,0,0,0.78125,0.78125,0.5,0.5,0.5,0.5,1.125,26.281,0.78125,0.5,0.5,0.28125,0.28125,0.125,0.125,0.125,1.125,0.78125,0.5,0.5,0.28125,0.125,0.03125,0.03125,0.125,7.0313,5.2813,3.125,2.5313,1.5313,1.5313,1.125,0.78125,0.5,0.5,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.5,0.5,0.5,0.5,0.78125,1.125,1.5313,2,3.125,4.5,0.125,0.125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.5,22.781,22.781,22.781,22.781,22.781,22.781,22.781,0.125,0.28125,0.28125,0.28125,0.28125,0.125,0.125,0.125,22.781,0.125,0.125,0.125,0.28125,0.28125,0.125,0.125,0.28125,21.125,22.781,22.781,24.5,24.5,22.781,0.28125,0.28125,0.28125,0.28125,0.28125,0.125,0.125,0.125,0.28125,24.5,4.5,3.125,2.5313,1.5313,1.125,0.78125,0.78125,0.5,0.5,0.5,0.28125,0.28125,0.28125,0.28125,0.28125,0.5,0.5,0.5,0.78125,1.125,2,2
18,1.125,0.5,0.28125,0.125,0.03125,0.03125,0.03125,0.03125,0,0,0,0.03125,0.03125,0.125,18,0,0,0,0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0,0,0,16.531,16.531,16.531,21.125,6.125,2.5313,2,1.125,0.78125,0.5,0.28125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0,0,0,0.03125,0.03125,0.03125,0.03125,0.125,0.125,0.28125,0.5,0.78125,1.125,2,3.125,21.125,21.125,4.5,0.5,0.03125,0.03125,0,0,0,0,0.03125,0.03125,0.125,0.125,0.28125,0.28125,0.5,0.78125,0.125,0,0,0.03125,0.03125,0.03125,0.03125,21.125,19.531,0.5,0.125,0.03125,0.03125,0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.125,0.78125,0.5,0.78125,0,0,0.03125,0.28125,0.125,19.531,0.125,2,0.78125,0.5,0.28125,0.125,0.03125,0.03125,0.03125,0,0,0,0,0,0,0,0,0.03125,0.03125,0.125,0.28125,0.5,12.5
0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1
7,14,17,17,17,17,17,16,14,21,21,20,18,18,16,8,31,23,20,18,18,18,17,17,18,20,19,19,19,15,6,6,6,5,17,19,18,18,18,18,18,18,17,18,18,15,15,18,20,18,15,18,18,19,18,17,18,18,18,18,18,18,5,5,12,16,18,18,18,18,26,30,30,30,29,29,29,29,14,13,15,18,18,17,17,17,30,5,5,16,17,18,17,17,18,29,30,30,30,30,29,14,16,14,18,18,16,14,13,6,30,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34422,0.8996,1.0874,0.82379,0.59561,0.72739,0.61822,1.1563,0.894,0.59151,0.65673,1.0077,0.74809,0.86699,0.92111,0.11049,0.57311,0.622,0.93385,0.92133,0.61886,0.63897,0.6518,0.37411,0.63489,0.9863,0.76481,1.1856,0.93821,1.1551,0.91676,1.0302,1.1486,1.0935,0.80424,0.95892,0.5803,0.75582,0.70705,0.85601,0.83296,1.0893,1.0837,0.88986,1.0754,1.0279,0.83578,0.91771,0.49775,0.77854,0.78231,1.0993,1.1797,0.98274,0.76218,1.1848,0.78453,1.0205,0.65536,0.92117,0.72377,0.83344,0.79031,1.3437,0.9201,0.74853,0.92429,0.70186,0.68336,1.0501,1.0721,0.65162,0.76817,1.0197,0.67484,0.89341,0.066291,0.37565,0.8424,0.87381,1.0241,1.0301,0.67542,0.59727,0.52759,0.82443,0.22097,0.62102,0.99033,0.76164,0.65681,0.88544,0.72524,0.865,1.1154,0.70316,0.75707,0.88033,0.71466,1.3002,0.72775,0.31359,1.0505,0.794,1.0316,0.8523,1.1726,0.80257,1.1298,0.85124,0.35355,0.98739,0.55149,0.63666,0.7562,0.89196,0.83707,0.73655,0.80718,0.98732,0.81565,0.66189,0.59894,1.0826,1.0535,0.88894,1.115,0.53245,0.86575,1.074,1.1142,0.86617,0.87351
-0.0034619,0.036818,0.0040331,0.03022,0.031654,0.039644,0.020887,0.0040328,-0.0092438,0.0081576,0.0010679,0.015221,0.019206,0.033508,0.018047,0,0.017462,-0.0060427,0.021022,0.035319,0.020578,0.04262,0.0296,0.0014161,0.0061845,-0.0088682,-0.0043644,-0.00050296,0.027804,0.0073018,0.028268,0.032849,0.033993,0.016981,0.02176,0.030407,0.034138,0.030899,0.011992,0.010204,0.018024,0.01655,0.018039,-0.0025393,0.0029754,0.022052,0.013431,0.0011922,-0.021378,0.0089903,0.032868,0.0083569,0.0077916,0.01196,-0.0080093,0.025092,0.023605,0.017165,0.013728,0.026771,0.012328,0.015166,0.0010917,0.010292,-0.015765,0.018657,0.02893,0.016738,0.05887,0.020064,0.022249,0.0033039,0.032483,0.0097474,0.0061308,0.012659,0,0,0.0084623,0.037468,-0.0070986,0.020843,0.09176,0.074998,0.023654,0.0029619,0.011227,-0.023358,0.0086863,0.023409,0.028446,0.018271,0.022707,0.022432,-0.0085251,-0.011414,-0.0032785,0.016588,-0.019094,0.014118,-0.020458,-0.018677,0.0029783,-0.015417,-0.0052737,0.026485,0.01309,0.017767,-0.017223,-0.00033564,0,0.02144,0.04682,0.020694,0.0071158,0.028061,0.016452,0.017664,0.03162,0.010362,0.033821,0.01107,0.0077773,0.026533,0.034283,0.022052,0.026132,-0.0056727,0.012099,0.019363,0.026743,0.042616,0.027123
0.046875,0.089254,0.048995,0.11016,0.1086,0.13065,0.078921,0.04589,0.05139,0.061474,0.068117,0.054631,0.077095,0.090778,0.06573,0.03125,0.046875,0.04584,0.086882,0.097776,0.086747,0.15901,0.10209,0.083316,0.070719,0.064693,0.041192,0.048482,0.085515,0.04256,0.059035,0.072687,0.071651,0.062109,0.046875,0.093893,0.1292,0.11196,0.088963,0.049333,0.059436,0.050783,0.057367,0.057416,0.042042,0.075569,0.044658,0.043355,0.076981,0.066227,0.082882,0.057654,0.073299,0.049849,0.047794,0.061128,0.096121,0.065464,0.079273,0.082608,0.065169,0.060364,0.032957,0.045744,0.062361,0.10045,0.10043,0.10579,0.21832,0.059837,0.063124,0.056912,0.070265,0.050564,0.046875,0.046875,0.03125,0.03125,0.054247,0.10244,0.041617,0.069219,0.41032,0.31388,0.11847,0.05626,0.0513,0.061024,0.038063,0.087934,0.097807,0.084483,0.092775,0.090648,0.04866,0.073441,0.061317,0.052867,0.046875,0.046875,0.046875,0.06552,0.058822,0.049613,0.059917,0.082494,0.05327,0.10422,0.057939,0.032198,0.03125,0.070317,0.17257,0.084486,0.067457,0.087389,0.061669,0.054921,0.081636,0.095319,0.13134,0.11768,0.062852,0.071612,0.1049,0.088111,0.07929,0.069902,0.069315,0.070859,0.068842,0.10711,0.065063
