12.094,20.875,34.094,114.19,157.16,177.09,176.41,150.69,86.75,60.781,55.813,51.281,50.156,48.031,31.969,24.906,8.125,23.75,56.844,85.375,110.41,118.38,117.44,100.78,62.719,47.469,47.469,42.75,37.469,37.625,40.656,36.25,31.781,35.719,36.688,40.031,40.875,44.5,55.281,66.5,116.84,111.91,102.09,81.938,54.656,8.2188,4.0938,28.25,84.5,143.03,163.44,176.34,182.78,168.09,104.38,35.688,34.281,32.844,26.375,20.938,15.719,13.875,24.094,40.719,70.531,161.38,190,189.63,172.25,142.41,46.063,21.75,13.156,17.625,61.25,83.469,99.844,99.813,104.81,88.781,80.719,80.844,81.969,78.156,91.469,107.31,109.13,115.81,102.84,67.5,31.906,23.719,37.75,33.563,31.469,31.094,30.594,25.719,29.719,33.813,34.031,34.781,41.938,46.031,47.969,47.906,41.375,20.969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09375,0.125,0.1875,0.6875,0.8125,0.875,0.9375,0.875,0.5,0.34375,0.3125,0.28125,0.28125,0.28125,0.1875,0.15625,0.0625,0.15625,0.34375,0.46875,0.59375,0.625,0.65625,0.59375,0.375,0.28125,0.28125,0.25,0.21875,0.21875,0.25,0.21875,0.1875,0.21875,0.21875,0.25,0.25,0.25,0.3125,0.375,0.6875,0.5625,0.5,0.4375,0.34375,0.0625,0.03125,0.1875,0.53125,0.8125,0.84375,0.875,0.90625,0.9375,0.65625,0.1875,0.1875,0.1875,0.15625,0.125,0.09375,0.09375,0.15625,0.25,0.4375,0.9375,0.9375,0.90625,0.875,0.875,0.28125,0.125,0.09375,0.125,0.375,0.46875,0.53125,0.53125,0.59375,0.5,0.46875,0.46875,0.46875,0.4375,0.53125,0.625,0.59375,0.625,0.59375,0.40625,0.21875,0.15625,0.21875,0.1875,0.1875,0.1875,0.1875,0.15625,0.1875,0.21875,0.21875,0.21875,0.25,0.25,0.25,0.25,0.25,0.15625
0.5,0.5,0.28125,0.125,0.125,0.03125,0,0,0,0.125,0.28125,0.5,0.5,0.28125,0.28125,0.28125,0.78125,6.125,4.5,2.5313,1.5313,1.125,0.78125,0.78125,0.5,0.5,0.28125,0.28125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.28125,0.5,0.5,0.78125,1.125,1.5313,2,2.5313,3.125,6.125,0.28125,0.125,0.125,0.125,0.125,0.125,0.125,0.03125,0.125,19.531,19.531,19.531,19.531,19.531,19.531,19.531,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.125,0.125,0.125,21.125,21.125,19.531,2,1.125,0.78125,0.5,0.28125,0.28125,0.28125,0.125,0.125,0.125,0.125,0.125,0.125,0.28125,0.28125,0.28125,0.5,8,7.0313,8,8,8,8,8,8,8,8,8,7.0313,7.0313,7.0313,7.0313,7.0313,8
19.531,18,2.5313,0.78125,0.5,0.28125,0.125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.125,0.28125,18,19.531,5.2813,2.5313,2,1.125,0.78125,0.78125,0.5,0.28125,0.28125,0.125,0.125,0.125,0.125,0.03125,0.03125,0.03125,0.125,0.125,0.125,0.125,0.28125,0.28125,0.5,0.5,1.5313,2,2.5313,3.7813,7.0313,0,15.125,3.125,0.5,0.28125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.125,0.28125,0.5,0.5,0.78125,0.78125,0.78125,0.03125,0.03125,0.125,0.125,0.125,0.125,0.125,0.28125,0.28125,0.03125,0.03125,0,0,0,0,0,0,0,0.03125,0.03125,0.03125,0.125,0.125,0.28125,0.28125,0.78125,3.7813,3.125,3.125,3.125,3.125,3.125,3.7813,3.125,2.5313,2.5313,2.5313,2.5313,2.5313,2.5313,2.5313,2.5313,3.7813
0.1,0.1,0.2,0.2,0.1,0.1,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6,7,9,16,16,16,16,15,13,16,18,19,19,16,10,6,7,17,18,17,17,17,16,17,17,16,16,17,15,15,17,19,17,15,15,17,17,17,17,17,18,17,17,17,16,16,4,6,12,16,16,17,17,17,16,29,29,29,28,28,27,27,13,13,14,17,17,16,17,17,18,29,28,28,21,18,18,16,15,16,16,16,18,17,18,20,19,18,17,15,13,19,19,20,20,20,20,19,20,20,20,20,0,0,0,0,0,0
0.125,0.52849,1.1065,0.87908,0.69744,0.72191,0.67285,0.89358,0.8612,0.83792,0.88366,0.67874,0.74182,0.97287,1.1961,0.8445,0.22097,0.40444,0.75858,0.83718,0.93411,0.84289,0.88612,0.79152,0.94384,0.69418,0.78106,0.86715,0.68125,0.59839,0.7799,0.69544,0.53864,0.71232,0.7171,0.86963,0.70572,0.67583,0.88578,0.6978,0.56805,0.61644,0.72071,0.80697,0.67329,0.066291,0,0.53388,0.65144,0.62547,0.57693,0.62964,0.70687,0.92979,0.99885,0.81434,0.8616,1.0112,1.0916,0.94872,0.83872,0.71603,0.23427,0.69646,0.85319,0.76497,0.67646,0.72033,0.61117,0.83336,0.96316,0.52602,0.16036,0.47667,0.77861,0.78325,0.97931,0.70433,1.0048,0.91771,0.86063,0.87475,0.97083,1.0006,1.089,1.0335,1.0931,0.79653,0.66891,0.78756,0.38036,0.32355,0.889,0.74556,0.64451,0.643,0.7441,0.59523,0.59317,0.44189,0.4957,0.45321,0.72306,0.80412,0.72876,0.63363,0.77128,0.29348
0,0.032976,0.014926,-0.0261,0.0069971,0.01663,0.0089641,0.0045377,0.016583,0.01541,0.016672,0.014779,0.021626,-0.0074267,0.0027953,0.011976,0,-0.010516,-0.017401,0.017777,0.0091442,0.022738,0.0030638,-0.0055572,0.0068373,0.0019135,0.0057844,0.01436,0.013707,0.0073843,0.018297,0.022492,0.031285,0.0062703,-0.0064306,-8.9504e-05,0.013217,0.015494,0.0053611,0.0052474,-0.0080678,0.039546,0.032349,0.016986,7.6684e-05,0,0,-0.012382,0.0025246,-0.0047673,0.0011544,0.01055,0.031624,0.0079633,-0.030859,0.0037273,0.0044305,-2.3354e-06,0.0014288,-0.0085114,-0.017995,-0.011931,-0.010658,0.00080413,-0.0025676,-0.013018,0.043437,0.046199,-0.0013689,-0.023008,-0.01522,0.019067,-0.01391,-0.0034163,-0.0071185,0.01025,0.016181,0.022376,0.00040787,0.015104,0.0051942,-0.0032319,-0.010648,-0.0071509,-0.011404,-0.014165,0.012364,0.012472,0.0069921,0.0040904,-0.0023835,0.0043572,0.019196,0.027579,0.023037,0.017235,0.013079,-0.0048534,0.014332,0.020012,0.020194,0.034601,-1.8783e-05,0.016218,0.024286,0.01194,0.0094653,0.011206
0.046875,0.07065,0.056052,0.084605,0.093014,0.092933,0.08418,0.06559,0.061772,0.064305,0.063313,0.078933,0.085101,0.046643,0.036831,0.037587,0.03125,0.068713,0.060127,0.088592,0.064793,0.072236,0.083025,0.059285,0.050294,0.043647,0.044979,0.056789,0.060801,0.048368,0.054595,0.060639,0.096241,0.048017,0.047289,0.040301,0.075283,0.064226,0.048661,0.046553,0.10557,0.11896,0.10446,0.079742,0.050793,0.03125,0,0.058407,0.056372,0.090171,0.10476,0.1215,0.14492,0.071026,0.093306,0.047867,0.045003,0.050322,0.054614,0.042367,0.046875,0.046875,0.044968,0.056333,0.054705,0.065937,0.17666,0.18104,0.0739,0.078309,0.046999,0.060463,0.046875,0.060394,0.069253,0.059843,0.05966,0.097163,0.051354,0.060221,0.080414,0.083205,0.071373,0.069893,0.061276,0.07451,0.05979,0.067469,0.05217,0.048136,0.049131,0.044025,0.055703,0.082526,0.083165,0.070553,0.062184,0.040124,0.048071,0.068647,0.066275,0.10834,0.066368,0.069257,0.072636,0.055156,0.049202,0.037136
