10.49,21.898,57.082,144.27,200.82,215.08,197,156.92,63.449,38.918,33.612,30.49,25.857,24.51,25.082,26.388,29.51,27.571,33.694,37.286,37.98,47.796,56.102,81.327,89.367,84.49,71.898,54.02,33.592,10.878,8.7143,19.918,36.51,93.347,137.86,150.18,148.45,128.16,49.551,26.673,16.306,2.5102,34.694,59.592,73.571,87.878,82.082,69.959,62.102,51.122,43.878,39.735,40.327,41.041,40.388,36.653,39.204,45.347,50.735,52.184,50.592,40.694,21.837,2.551,23.551,43.388,108.43,129.67,130.08,123.94,101.45,26.408,13.878,12.327,6.0816,10.673,11.98,18.061,25.367,34.98,57.98,104.12,122.02,121.1,115.04,99.694,68.531,24.469,21.408,16.51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.061224,0.12245,0.34694,0.85714,0.95918,0.97959,0.95918,0.91837,0.34694,0.20408,0.18367,0.16327,0.14286,0.14286,0.14286,0.14286,0.16327,0.14286,0.18367,0.20408,0.20408,0.26531,0.28571,0.42857,0.42857,0.38776,0.34694,0.26531,0.18367,0.081633,0.061224,0.12245,0.22449,0.57143,0.67347,0.67347,0.69388,0.69388,0.32653,0.16327,0.10204,0.020408,0.20408,0.30612,0.34694,0.42857,0.42857,0.36735,0.34694,0.28571,0.2449,0.22449,0.22449,0.22449,0.22449,0.20408,0.22449,0.26531,0.26531,0.26531,0.26531,0.22449,0.14286,0.020408,0.14286,0.2449,0.57143,0.59184,0.57143,0.57143,0.59184,0.16327,0.081633,0.081633,0.040816,0.061224,0.061224,0.10204,0.14286,0.18367,0.32653,0.57143,0.57143,0.55102,0.53061,0.5102,0.40816,0.12245,0.12245,0.10204
0.18367,0.081633,0.020408,0.020408,0.020408,0,0.020408,0.081633,9,9.8776,9,9,9,8.1633,8.1633,8.1633,8.1633,8.1633,8.1633,9,9,9,9.8776,10.796,10.796,11.755,12.755,14.878,17.163,20.898,41.327,9.8776,0.32653,0.18367,0.18367,0.18367,0.18367,0.18367,0.081633,0.020408,39.51,25,17.163,14.878,12.755,10.796,9.8776,9,8.1633,8.1633,8.1633,7.3673,7.3673,7.3673,7.3673,7.3673,7.3673,7.3673,8.1633,8.1633,9,10.796,11.755,13.796,9.8776,9,8.1633,7.3673,7.3673,7.3673,7.3673,10.796,39.51,39.51,9,8.1633,8.1633,7.3673,7.3673,7.3673,7.3673,7.3673,8.1633,9,9.8776,10.796,16,36,36,37.735
37.735,34.306,19.612,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.020408,0.020408,0.020408,0.18367,0.32653,0.5102,0.5102,0.5102,0.73469,1,1.6531,2.4694,3.449,0.020408,0.020408,0.081633,0.081633,0.081633,0.081633,0.081633,0.020408,0.020408,0,0,0,2.0408,1,1,0.5102,0.32653,0.18367,0.18367,0.081633,0.081633,0.020408,0.020408,0.020408,0.020408,0.020408,0.081633,0.081633,0.18367,0.18367,0.18367,0.32653,0.73469,0,0.020408,0.020408,0.020408,0.020408,0.081633,0.081633,0.020408,0.020408,0.020408,0.020408,13.796,13.796,13.796,12.755,0.081633,0.081633,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408,0.020408
0.1,0.1,0.1,0.6,0.1,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,6,10,25,25,25,25,26,38,40,40,41,40,37,37,37,35,33,33,35,33,32,32,34,34,34,34,34,34,35,47,39,25,28,29,29,29,30,33,36,47,36,35,35,34,34,34,34,33,35,36,36,36,36,36,35,34,32,31,31,33,34,33,27,34,34,35,34,34,34,34,38,47,47,23,22,22,22,29,30,33,34,0,0,0,0,0,0,0,0
0.16993,0.7423,0.76323,0.7657,0.36369,0.44304,0.56378,0.77253,0.8095,0.67584,0.76911,0.72988,0.6418,0.61393,0.49653,0.55687,0.58509,0.47876,0.63831,0.69194,0.71945,0.71165,0.67949,0.8082,0.54835,0.61695,0.73613,0.54248,0.45342,0.088762,0.25841,0.4703,0.59857,0.6554,0.42071,0.51621,0.59061,0.47028,0.59511,0.78625,0.44418,0,0.4861,0.61688,0.51267,0.64019,0.77203,0.62253,0.78465,0.73078,0.63798,0.64691,0.58356,0.66311,0.68588,0.57136,0.58903,0.61233,0.52563,0.72103,0.74935,0.50759,0.43682,0,0.57014,0.66909,0.57069,0.60273,0.39861,0.33682,0.48582,0.61571,0.64429,0.56187,0.057723,0.5327,0.4682,0.87624,0.78555,0.7822,0.75117,0.66753,0.48181,0.47001,0.46695,0.60552,0.71638,0.53769,0.54508,0.35915
0.010776,0.0059051,-0.015337,-0.0052921,0.0062354,0.046595,0.015205,-0.0071912,-0.0023255,-0.0016447,0.0048166,0.0033816,0.010824,0.015276,-0.0013464,-0.0040577,0.0034769,0.010202,0.0024691,0.00014922,-0.0022652,0.001711,0.011357,0.0031157,0.020204,0.028888,0.022281,0.012776,0.0078618,0.017722,-0.0066742,-0.010525,-0.0051492,-0.011993,0.017034,0.034406,0.033782,0.012825,-0.024238,-0.0039012,0.0060341,0,0.013961,0.018916,0.020768,0.019967,0.008551,0.016432,0.00091481,-0.00071854,0.0011096,-0.0012649,-0.0068985,-0.003894,-0.0045065,-2.9618e-05,0.0034867,0.00088418,0.0045099,0.013113,0.012415,0.0014291,-0.0055977,0,0.0049494,-0.00086969,-0.0089817,0.045255,0.044446,0.028014,-0.009054,-0.015174,-0.0014155,-0.001486,0,0.0037903,-0.013663,0.0023371,-0.0036853,0.0019339,-0.0012042,0.00021499,0.038013,0.04158,0.038931,0.014908,-0.012463,0.0058907,0.01143,0.0044038
0.030612,0.033514,0.041081,0.029502,0.059041,0.18547,0.058554,0.036494,0.03299,0.031574,0.036987,0.044212,0.045479,0.038612,0.02724,0.031515,0.02909,0.04481,0.031558,0.041083,0.036829,0.035074,0.046639,0.037067,0.084715,0.082462,0.059188,0.04188,0.037662,0.043935,0.030612,0.03178,0.035279,0.041187,0.074284,0.10526,0.10178,0.06962,0.060009,0.026268,0.025023,0,0.043867,0.061837,0.057856,0.062216,0.038709,0.055123,0.033329,0.0371,0.0434,0.034237,0.039252,0.036896,0.036635,0.045881,0.040087,0.03297,0.033201,0.046132,0.041,0.032735,0.041753,0,0.033956,0.038022,0.047669,0.1512,0.15962,0.1043,0.053674,0.049813,0.02239,0.022687,0.020408,0.030612,0.030612,0.029012,0.031223,0.033483,0.035379,0.037862,0.15355,0.15359,0.14737,0.053302,0.044639,0.029887,0.04227,0.029933
