2.8333,13.313,18.938,49.333,106.94,131.71,132.46,114.02,57.292,40.021,35.646,30.229,22.208,23.813,20.667,2.7083,11.729,38.563,62.583,69.896,74.875,69.146,50.958,39.25,32.729,31.354,27.875,31.083,37.333,90.729,120.21,131.9,118.13,97.896,31.208,24.125,22.854,17.625,2.8542,16.438,37.396,102.52,125.81,135.79,125.17,89.813,30.958,20.354,13.354,7.4167,10.417,10.833,11.854,18.729,22.563,27.458,48.396,99.021,117.92,114.98,93.771,31.521,12.813,9.2083,15.938,35.604,106.21,138.81,145.67,139.38,106.63,50.521,46,46.083,45.896,46.771,47.229,25.563,15.292,42.646,71.667,87.5,87.667,59.542,46.458,40.958,29.979,27.75,24.208,24.146,21.854,25.25,25.271,26.375,29.688,29.688,33.646,41.146,47.938,84.813,89.354,87.875,72.313,53.688,29.479,5.375,5.6667,16.625,32.042,66.063,150.33,188.29,196.08,172.94,85.583,40.313,30.479,23.729,22.875,10.979,14.938,16.375,29.333,34.333,43,104.5,184.38,214.92,214.85,191.81,128.35,48.146,42.021,44.875,43.854,44.292,44.75,40.833,12.646
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020833,0.083333,0.10417,0.29167,0.54167,0.58333,0.60417,0.60417,0.3125,0.20833,0.1875,0.16667,0.125,0.14583,0.14583,0.020833,0.083333,0.22917,0.33333,0.33333,0.375,0.375,0.29167,0.22917,0.1875,0.1875,0.16667,0.1875,0.20833,0.52083,0.5625,0.58333,0.5625,0.5625,0.16667,0.125,0.125,0.10417,0.020833,0.10417,0.20833,0.5625,0.58333,0.60417,0.60417,0.52083,0.1875,0.125,0.083333,0.041667,0.0625,0.0625,0.0625,0.10417,0.125,0.14583,0.27083,0.5625,0.5625,0.54167,0.52083,0.1875,0.083333,0.0625,0.083333,0.20833,0.5625,0.625,0.625,0.66667,0.60417,0.25,0.22917,0.22917,0.22917,0.22917,0.25,0.16667,0.10417,0.25,0.375,0.41667,0.45833,0.3125,0.25,0.22917,0.16667,0.16667,0.14583,0.14583,0.125,0.14583,0.14583,0.14583,0.16667,0.16667,0.1875,0.22917,0.25,0.47917,0.4375,0.39583,0.33333,0.27083,0.16667,0.041667,0.041667,0.10417,0.1875,0.39583,0.79167,0.83333,0.85417,0.875,0.52083,0.22917,0.16667,0.125,0.14583,0.0625,0.083333,0.083333,0.16667,0.1875,0.22917,0.625,0.91667,0.91667,0.9375,0.91667,0.75,0.25,0.20833,0.22917,0.22917,0.22917,0.22917,0.22917,0.083333
8.3333,7.5208,6.75,6.75,6.0208,5.3333,5.3333,5.3333,5.3333,7.5208,7.5208,7.5208,8.3333,7.5208,7.5208,8.3333,28.521,11.021,9.1875,9.1875,8.3333,7.5208,7.5208,7.5208,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.5208,8.3333,12,33.333,33.333,33.333,36.75,9.1875,9.1875,8.3333,7.5208,6.75,6.75,6.75,8.3333,8.3333,8.3333,8.3333,7.5208,7.5208,7.5208,6.75,6.75,6.75,6.75,7.5208,7.5208,9.1875,10.083,24.083,36.75,8.3333,8.3333,7.5208,6.75,6.0208,6.0208,5.3333,5.3333,8.3333,8.3333,8.3333,8.3333,8.3333,8.3333,8.3333,16.333,13.021,11.021,10.083,9.1875,8.3333,8.3333,7.5208,7.5208,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.5208,7.5208,8.3333,8.3333,10.083,11.021,12,14.083,16.333,18.75,9.1875,8.3333,7.5208,6.75,2.0833,1.3333,0.75,0.52083,0.33333,0.1875,0.083333,0.083333,0.020833,0.020833,0,0,0,0,0,0.020833,0.020833,0.083333,0.083333,0.1875,0.52083,8.3333,9.1875,8.3333,8.3333,8.3333,8.3333,8.3333,36.75
0,13.021,13.021,0.75,0.52083,0.33333,0.1875,0.1875,0.083333,0.083333,0.083333,0.1875,0.1875,0.1875,0.1875,0,1.0208,0.52083,0.1875,0.1875,0.083333,0.083333,0.083333,0.083333,0.1875,0.1875,0.33333,0.52083,0.52083,0.33333,0.1875,0.083333,0.083333,0.020833,0.020833,0.083333,0.083333,0.1875,0,0.083333,0.020833,0.020833,0.020833,0.020833,0.020833,0.020833,0.020833,0.083333,0.1875,14.083,14.083,14.083,14.083,13.021,0.1875,0.1875,0.083333,0.083333,0.083333,0.020833,0.020833,0.083333,0.083333,13.021,12,1.0208,0.1875,0.020833,0.020833,0,0,0,0,0,0,0,0,0.020833,4.6875,2.5208,1.0208,0.75,0.52083,0.52083,0.33333,0.1875,0.1875,0.1875,0.1875,0.083333,0.083333,0.020833,0.020833,0.020833,0.020833,0.083333,0.083333,0.1875,0.33333,0.33333,0.52083,0.75,1.3333,1.6875,3,4.6875,13.021,0,0,0,0,0,0.020833,0.020833,0.020833,0.020833,0.020833,0.020833,0.020833,40.333,40.333,40.333,11.021,11.021,11.021,0.52083,0.1875,0.083333,0.020833,0.020833,0,0,0,0,0,0,0.020833,0.020833,0.083333
0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.4,0.1,0.1,0.1,0.1,0.5,0.2,0.2,0.2,0.2,0.1,0,0,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
21,22,21,32,31,31,31,31,31,35,34,33,36,34,34,21,40,35,35,35,35,35,35,35,34,33,32,30,30,31,32,33,33,34,42,44,44,43,43,32,35,34,34,33,33,34,35,34,28,22,21,21,21,21,25,25,30,33,33,35,35,42,45,22,23,29,32,33,33,33,33,36,35,35,35,35,35,32,31,32,33,33,33,32,33,32,33,30,31,34,33,35,35,35,36,33,34,32,33,33,33,33,33,33,33,32,23,32,33,32,30,29,27,27,25,21,20,25,22,3,3,3,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.48394,0.68804,0.61887,0.45051,0.49572,0.3777,0.60932,0.78311,0.70564,0.67912,0.616,0.70756,0.54363,0.31451,0,0.23532,0.53959,0.71401,0.6313,0.65383,0.66809,0.6875,0.67855,0.52572,0.49353,0.48995,0.57431,0.53727,0.67607,0.4626,0.56489,0.44405,0.62199,1.0055,0.84193,0.72963,0.58471,0,0.248,0.5007,0.55676,0.47514,0.56117,0.54469,0.53966,0.56983,0.41215,0.24139,0.32409,0.56877,0.57067,0.541,0.75597,0.74765,0.71187,0.76335,0.55254,0.47314,0.65893,0.58638,0.62772,0.41121,0.33679,0.34543,0.85844,0.62374,0.62268,0.40226,0.54055,0.7966,0.73116,0.63629,0.68923,0.71408,0.63036,0.65112,0.30127,0.11543,0.52181,0.66401,0.4681,0.67395,0.77268,0.67231,0.74629,0.57525,0.56978,0.50846,0.48305,0.39007,0.57426,0.54536,0.6315,0.7372,0.65413,0.70773,0.68366,0.60388,0.77992,0.48394,0.70177,0.76306,0.71561,0.35799,0.029463,0.11785,0.53898,0.70852,0.69103,0.52376,0.46015,0.41434,0.42799,0.78432,0.5912,0.5682,0.22608,0.51447,0.49403,0.64715,0.71898,0.73193,0.74013,0.78447,0.77128,0.57259,0.49014,0.55183,0.48335,0.71085,0.82651,0.70936,0.82179,0.70982,0.63226,0.60151,0.52654,0.24555
0,0.0015654,0.00049456,-0.018165,0.0012639,0.040806,0.028699,-0.011365,0.00045315,0.002905,0.0068285,-0.0024015,-0.0045999,-0.0081039,-0.012348,0,-0.011775,0.00064387,0.0086164,0.020418,0.010154,5.7206e-05,-0.0043649,-0.0037424,-0.011661,-0.013726,0.0058952,-0.0089331,-0.014728,-0.0071407,0.011359,0.042248,0.016579,-0.02326,0.00078313,0.0091417,0.0077192,0.0036917,0,-0.012045,0.0006412,-0.013633,0.034922,0.033274,0.0089617,-0.0072296,-0.017028,-0.01615,-0.0020356,0,-0.013935,-0.0071694,-0.0079542,-0.0043704,-0.0028278,-0.0027742,-0.0061758,-0.0091691,0.032714,0.018936,-0.0032751,-0.0087604,-0.0016014,0.0061417,0.0051396,-0.0092892,-0.0085566,0.035791,0.045136,0.0081432,-0.0098236,0.013073,0.0051747,0.0071958,0.011459,0.012754,0.0062369,-0.018098,-0.0024894,0.0063116,0.014391,0.015251,-0.00023164,0.0055418,0.0032055,0.00092281,0.0013417,0.0020674,0.0040492,0.0035295,-0.011206,-0.014954,-0.016494,-0.013174,-0.0068164,0.0029154,0.0072166,0.00056584,0.0020742,-0.0031705,0.011219,0.028686,0.024797,0.014989,0.01473,0,0,-0.0023127,-0.0075787,-0.01753,0.0030807,0.036864,0.046457,-0.0051388,-0.014091,0.0023763,0.0056589,-0.0012837,-0.013471,-0.0057764,-0.0017357,-0.0039003,-0.010844,-0.00024699,0.0055933,-0.019538,0.010466,0.052954,0.05222,0.017553,-0.018308,0.0048367,0.0027372,0.0055838,0.0050963,0.0072299,0.014603,-0.00034564,0.0039394
0,0.030352,0.040117,0.061877,0.050502,0.13712,0.12309,0.043095,0.034055,0.035306,0.03998,0.053246,0.043976,0.046258,0.041878,0,0.038986,0.042741,0.037246,0.067285,0.048132,0.039373,0.038763,0.038908,0.043035,0.059447,0.047686,0.047818,0.046122,0.038941,0.072462,0.14406,0.076485,0.075336,0.028557,0.036562,0.043678,0.03306,0,0.045514,0.036004,0.053527,0.12623,0.11657,0.038781,0.058917,0.052804,0.053367,0.025252,0.020833,0.03125,0.03125,0.03125,0.034429,0.037614,0.032066,0.035982,0.034693,0.12012,0.063285,0.049691,0.03994,0.028098,0.03125,0.031538,0.030295,0.047258,0.11773,0.1604,0.07615,0.033173,0.056885,0.038708,0.042535,0.05172,0.06082,0.049074,0.061376,0.026744,0.034234,0.046329,0.083051,0.038204,0.037633,0.035269,0.031539,0.043063,0.045303,0.024349,0.041096,0.04324,0.058602,0.05245,0.057187,0.051224,0.037357,0.031942,0.034708,0.034582,0.034315,0.057322,0.078584,0.067009,0.043394,0.047156,0.020833,0.020833,0.02887,0.03602,0.051427,0.061173,0.13569,0.18199,0.061049,0.040016,0.032434,0.04212,0.032152,0.039009,0.03125,0.04157,0.039323,0.048268,0.046321,0.0372,0.048069,0.060759,0.21989,0.18945,0.10031,0.05779,0.034111,0.033183,0.034712,0.035879,0.04137,0.05927,0.040077,0.027583
