5.125,12.125,18.021,63.542,107.06,130.88,138.04,130.63,86.708,54.25,40.229,35.938,32.417,34.167,23.729,14.896,5.1042,10.146,32.396,54.75,64.979,67.563,62.083,51.083,37.146,35.042,34.688,32.646,35.417,40.354,58.146,99.104,116.96,115.77,102.85,83.375,24.854,13.771,12.688,5.3125,5.2292,31.854,92.625,112.6,124.88,113.79,95.563,36,20.688,12.125,12.688,10.396,13.188,12.854,13.208,17.063,24.542,34.729,52.25,88.646,108.4,107.15,94.396,58.75,12.104,17.375,60.313,96.729,115.46,120.17,115.58,89.104,42.188,36,36.375,35.604,34.417,25.917,16.333,5.25,2.4792,40.063,63.167,76.458,85.521,86.646,82.229,57.542,44.875,42.771,35.583,33.896,30.208,24.167,23.458,19.542,18.292,21.313,25.063,26.354,33.479,41.125,55.042,80.708,85.771,77.625,60.229,36.979,13.063,2.4583,17.25,29.229,77.063,133.56,153.73,159.27,154.25,134.17,50.917,36.938,27.5,20.104,8.4792,9,10.063,10.354,18.708,28.354,34.729,107.23,167.46,191.63,186.23,155.79,81.479,41.104,39.146,40.667,44.354,47.25,38.063,29.563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041667,0.083333,0.10417,0.41667,0.58333,0.625,0.64583,0.66667,0.5,0.3125,0.22917,0.20833,0.1875,0.20833,0.14583,0.10417,0.041667,0.083333,0.20833,0.3125,0.33333,0.35417,0.35417,0.3125,0.22917,0.22917,0.22917,0.20833,0.22917,0.25,0.35417,0.5625,0.58333,0.5625,0.54167,0.54167,0.16667,0.083333,0.083333,0.041667,0.041667,0.20833,0.58333,0.58333,0.60417,0.58333,0.58333,0.22917,0.14583,0.083333,0.083333,0.0625,0.083333,0.083333,0.083333,0.10417,0.14583,0.20833,0.3125,0.52083,0.5625,0.5625,0.54167,0.41667,0.083333,0.10417,0.41667,0.54167,0.5625,0.58333,0.625,0.5625,0.25,0.20833,0.20833,0.20833,0.20833,0.16667,0.10417,0.041667,0.020833,0.25,0.33333,0.375,0.41667,0.45833,0.5,0.33333,0.25,0.25,0.20833,0.20833,0.1875,0.14583,0.14583,0.125,0.125,0.14583,0.16667,0.16667,0.20833,0.25,0.33333,0.45833,0.4375,0.39583,0.33333,0.22917,0.10417,0.020833,0.125,0.1875,0.52083,0.75,0.77083,0.8125,0.85417,0.89583,0.33333,0.25,0.1875,0.14583,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.20833,0.6875,0.91667,0.9375,0.9375,0.91667,0.54167,0.25,0.22917,0.22917,0.25,0.27083,0.22917,0.20833
6.75,6.0208,5.3333,4.6875,4.0833,3.5208,3.5208,3.5208,4.0833,4.6875,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.75,28.521,11.021,9.1875,8.3333,7.5208,7.5208,6.75,6.75,6.0208,6.0208,6.0208,5.3333,5.3333,5.3333,6.0208,6.0208,6.75,7.5208,7.5208,11.021,33.333,33.333,35.021,8.3333,6.75,6.0208,6.0208,5.3333,5.3333,5.3333,6.0208,7.5208,7.5208,6.75,6.75,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.0208,6.75,6.75,7.5208,8.3333,7.5208,6.75,6.0208,6.0208,5.3333,5.3333,4.6875,5.3333,6.0208,7.5208,7.5208,7.5208,7.5208,7.5208,7.5208,9.1875,22.688,14.083,12,10.083,9.1875,9.1875,7.5208,7.5208,7.5208,6.75,6.75,6.0208,6.0208,6.75,6.75,6.75,6.75,6.75,6.75,7.5208,7.5208,8.3333,8.3333,9.1875,9.1875,10.083,12,15.188,17.521,42.188,8.3333,7.5208,7.5208,2.5208,1.6875,1.0208,0.52083,0.33333,0.1875,0.1875,0.1875,0.083333,0.083333,0.020833,0.020833,0.020833,0,0,0,0,0.020833,0.020833,0.083333,0.1875,0.52083,8.3333,8.3333,8.3333,8.3333,7.5208,8.3333,8.3333
16.333,15.188,15.188,1.0208,0.75,0.52083,0.33333,0.1875,0.33333,0.33333,0.33333,0.33333,0.52083,0.52083,0.75,1.3333,16.333,0.75,0.52083,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.52083,0.75,0.33333,0.33333,0.1875,0.1875,0.1875,0.1875,0.1875,0.33333,0.33333,0.52083,14.083,0.1875,0.1875,0.1875,0.1875,0.33333,0.33333,0.1875,0.1875,0.33333,14.083,15.188,15.188,15.188,15.188,14.083,0.33333,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.33333,13.021,13.021,1.0208,0.52083,0.52083,0.33333,0.1875,0.1875,0.1875,0.083333,0.083333,0.083333,0.083333,0.1875,12,13.021,0,2.0833,1.3333,1.3333,1.0208,0.52083,0.33333,0.33333,0.33333,0.1875,0.1875,0.083333,0.020833,0.020833,0.020833,0.083333,0.083333,0.083333,0.083333,0.1875,0.1875,0.33333,0.52083,0.52083,0.75,1.0208,1.3333,2.0833,4.0833,0,0.020833,0.020833,0.020833,0.020833,0.083333,0.083333,0.083333,0.020833,0.020833,0.020833,0.020833,0.020833,0.083333,40.333,40.333,40.333,11.021,10.083,10.083,0.33333,0.1875,0.083333,0.020833,0.020833,0.020833,0,0,0,0.020833,0.020833,0.083333,0.1875
0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2
20,20,19,29,29,29,29,30,29,30,32,31,30,31,29,24,20,40,37,35,34,33,33,32,32,32,32,32,29,29,31,31,32,32,33,33,37,43,43,43,22,30,32,32,31,31,31,29,31,27,21,20,20,20,20,20,27,28,29,32,32,32,33,33,22,21,29,31,30,31,31,31,30,33,33,33,33,30,22,23,34,33,33,32,32,33,32,32,32,32,32,32,31,35,35,33,33,34,33,35,34,33,32,33,32,32,33,33,32,46,34,32,34,30,28,27,26,26,21,27,34,31,18,3,3,3,10,14,14,25,0,0,0,0,0,0,0,0,0,0,0,0
0.14731,0.39031,0.65269,0.68454,0.51387,0.59534,0.55611,0.62759,0.78544,0.78201,0.71044,0.64768,0.63048,0.70437,0.4764,0.48569,0.073657,0.12997,0.50377,0.71838,0.74246,0.58877,0.59177,0.59428,0.54178,0.52179,0.46847,0.47761,0.59936,0.65662,0.73893,0.57934,0.56416,0.44615,0.39181,0.49871,0.70767,0.50213,0.48453,0.014731,0.044194,0.3794,0.5829,0.40953,0.51289,0.36129,0.47256,0.34879,0.39279,0.31846,0.47427,0.47523,0.59057,0.54814,0.51665,0.65209,0.69428,0.72562,0.72602,0.73258,0.68716,0.58472,0.52634,0.32324,0.32604,0.54574,0.66212,0.4692,0.49865,0.45485,0.49952,0.6921,0.63054,0.67392,0.66262,0.66858,0.6727,0.64029,0.411,0,0,0.358,0.70317,0.6659,0.62489,0.49766,0.71279,0.71746,0.64985,0.63081,0.55415,0.60557,0.62556,0.48003,0.50122,0.35592,0.38362,0.43292,0.52124,0.43707,0.56528,0.548,0.61988,0.51587,0.53649,0.62995,0.72643,0.43184,0.10684,0,0.33644,0.48283,0.62374,0.51388,0.40348,0.45298,0.37401,0.4762,0.52899,0.41057,0.36069,0.32307,0.16182,0.34422,0.256,0.2468,0.52385,0.54673,0.53495,0.53187,0.47902,0.37425,0.39336,0.48345,0.59623,0.67047,0.66005,0.64107,0.68445,0.70622,0.40024,0.29536
0,0.0039509,0.0056073,-0.022916,0.0019124,0.033631,0.033619,0.0065402,-0.0026522,0.0016553,0.0022312,0.0011528,0.0038663,0.00058828,-0.021348,-0.011772,0,-0.022481,0.00093189,0.004552,0.011329,0.018382,0.0037873,-0.0049675,-0.011878,-0.0070995,-0.0017044,0.0014568,-0.0068224,-0.0049773,-0.0053075,-0.009827,0.016753,0.034698,0.017946,-0.0082543,-0.0102,0.0062014,-0.010641,0,0,-0.005391,-0.012529,0.012188,0.048225,0.019957,-0.0040535,0.00104,-0.0036704,0.015841,-0.00033363,-0.0070083,-0.0036176,-0.0047854,-0.0051736,-0.00013071,-0.0090627,-0.0064514,-0.0041183,-0.0070455,0.012033,0.012187,0.0065011,-0.0057068,0.022653,0.0086566,-0.030659,-0.0092404,0.032335,0.024485,0.014436,-0.012845,-0.0027994,0.0014215,0.001738,0.003311,-0.0020686,-0.011767,-0.010741,0,0,0.010971,0.021195,0.026504,0.029517,0.017866,-0.0045293,0.0036494,0.0072174,0.0062911,0.0091794,0.0010431,0.0026669,0.01193,0.013615,0.00078499,-0.0037229,-0.0048403,0.0020748,0.0063997,0.00094652,-0.00068213,9.8559e-05,0.0012644,0.034742,0.014844,0.0094452,0.01601,-0.0039478,0,-0.0092073,-0.0056178,-0.021287,0.0036219,0.025794,0.023577,-0.002738,-0.013647,-0.0047985,-0.0081263,-0.004133,-0.010638,0.01046,0.0023079,0.012995,0.014613,-0.0025125,0.001655,0.0042037,-0.021771,0.0031973,0.027524,0.032215,0.0021402,-0.017124,0.0052471,0.0072679,0.0087212,0.0079312,0.0040079,0.0063742,0.0064467
0.020833,0.03128,0.032789,0.065288,0.064539,0.098371,0.10504,0.055093,0.034474,0.03491,0.037252,0.035674,0.038545,0.037595,0.054146,0.033225,0.020833,0.047233,0.037544,0.034068,0.038222,0.051529,0.043822,0.042846,0.048724,0.042218,0.045613,0.035884,0.029623,0.034223,0.033544,0.04285,0.083921,0.13201,0.094041,0.044842,0.02981,0.034071,0.036068,0.020833,0.020833,0.036612,0.046524,0.072606,0.16513,0.11642,0.041908,0.047815,0.029586,0.042405,0.024539,0.03125,0.034991,0.030414,0.027739,0.036667,0.039045,0.043099,0.039373,0.035096,0.048676,0.048579,0.04613,0.042215,0.047656,0.026662,0.076979,0.073738,0.11616,0.10544,0.080379,0.043355,0.041457,0.045493,0.041542,0.04088,0.044223,0.044673,0.04007,0,0,0.042147,0.056144,0.075289,0.085196,0.090132,0.035709,0.035794,0.043376,0.031322,0.043398,0.04,0.037163,0.045707,0.051221,0.047112,0.029003,0.028236,0.031221,0.048758,0.031381,0.03531,0.042671,0.045096,0.10216,0.052441,0.039944,0.051519,0.030972,0,0.036756,0.039462,0.061035,0.065835,0.096366,0.079663,0.048628,0.045567,0.032395,0.032793,0.044346,0.039365,0.03125,0.03125,0.03125,0.03125,0.026013,0.029198,0.033144,0.065216,0.046612,0.10545,0.13289,0.043978,0.043634,0.030458,0.031489,0.034344,0.036811,0.034178,0.034191,0.043985
