11.625,27.656,39.438,55.969,92,106.56,109.47,96.313,101.69,94.375,79.563,59.031,57.906,35.813,24.656,27.938,39.75,53,59.5,33.75,9.0625,30.938,82.406,107,129.31,138.31,113.19,93.063,82.281,70.25,65.125,61.781,63.344,63.25,71.188,69.656,67.719,71.844,70.75,68.031,56.25,47.906,43.75,3.5938,14.188,89.5,144,135.41,146.13,65.156,29.125,27.688,23.313,22.281,18.625,21.281,16.063,15.313,20.813,19,30.719,99,127.13,126.19,105.75,98.375,36.656,14.594,3.5938,55.469,90.188,119.97,134.38,102.63,95.625,83.344,53.625,51.969,46.625,52.375,52.063,52.031,54.75,63.469,69.438,79.844,78.188,71.188,61.594,50.406,16.656
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09375,0.15625,0.21875,0.3125,0.46875,0.53125,0.625,0.5625,0.59375,0.53125,0.5,0.3125,0.34375,0.25,0.15625,0.1875,0.25,0.3125,0.34375,0.1875,0.0625,0.21875,0.40625,0.53125,0.625,0.6875,0.59375,0.5,0.46875,0.40625,0.375,0.34375,0.34375,0.34375,0.375,0.375,0.375,0.40625,0.375,0.375,0.34375,0.28125,0.28125,0.03125,0.09375,0.59375,0.875,0.78125,0.78125,0.40625,0.15625,0.15625,0.125,0.125,0.09375,0.125,0.09375,0.09375,0.125,0.125,0.21875,0.6875,0.78125,0.78125,0.625,0.6875,0.21875,0.09375,0.03125,0.34375,0.53125,0.625,0.71875,0.5625,0.5,0.46875,0.3125,0.3125,0.28125,0.3125,0.3125,0.3125,0.3125,0.34375,0.375,0.40625,0.40625,0.40625,0.34375,0.3125,0.125
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,13.781,11.281,11.281,8,0.28125,0.125,0.125,0.125,0.125,0.5,4.5,3.7813,2.5313,1.5313,1.125,0.5,0.5,0.28125,0.125,0.125,0.125,0.125,0.125,0.03125,0.125,0.125,0.125,0.28125,0.5,0.78125,1.125,1.5313,18,0.125,0.03125,0.03125,0.125,0.125,0.03125,18,18,19.531,19.531,19.531,18,18,18,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0,15.125,19.531,7.0313,4.5,1.5313,0.78125,0.5,0.28125,0.125,0.125,0.125,0.03125,0.03125,0,0,0,0,0,0.03125,0.03125,0.03125,0.125,0.28125,0.5,1.125
22.781,19.531,16.531,11.281,7.0313,5.2813,2,1.125,0.5,0.03125,0,0.03125,0.125,0.78125,3.7813,6.125,8,10.125,11.281,18,21.125,3.7813,2,1.125,0.78125,0.5,0.5,0.28125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.125,0.28125,0.28125,0.28125,0.28125,0.5,0.78125,0,19.531,1.5313,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.5,0.5,0.78125,0.78125,1.125,1.5313,2,0.5,0.5,0.5,0.5,0.28125,0.28125,0.5,0,2.5313,2,1.5313,0.78125,0.78125,0.5,0.5,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.5,0.5,0.78125,1.5313,2,3.7813
0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
4,5,6,8,10,11,13,16,18,22,22,27,25,24,19,14,10,9,8,6,6,18,18,18,18,18,17,17,18,18,19,19,19,19,17,18,16,12,13,15,17,17,17,25,5,13,16,16,16,17,27,27,28,28,27,27,26,26,14,14,12,14,15,15,14,15,26,27,16,18,16,16,16,16,16,15,20,18,18,16,0,0,0,0,0,0,0,0,0,0,0
0.16536,0.86037,1.0597,1.3198,1.0799,0.8741,1.1869,1.189,1.0131,1.0475,0.95053,1.0777,1.0068,0.41315,0.6848,0.71834,1.1365,0.61682,1.0155,0.84248,0.35355,0.60753,0.71681,0.92128,0.72156,0.90307,1.2744,0.91457,0.97133,1.0618,0.88783,0.98227,1.1251,0.92587,1.0402,1.2416,1.118,0.95341,0.76632,0.83156,1.0551,0.8984,0.77546,0,0.95675,0.86802,1.0963,1.1392,0.67709,1.0245,0.65833,1.1236,0.91661,1.3188,1.0314,0.84678,0.87519,1.1032,0.53795,0.35447,0.64293,0.70651,0.83583,0.92668,0.79779,0.59151,0.772,0.77455,0,0.93826,0.8949,0.79507,1.0174,0.87567,0.99134,0.91568,1.1444,1.0011,1.0036,1.0383,1.0475,0.68469,0.82808,0.89052,0.69646,0.6708,0.76105,1.092,1.2267,1.3035,0.1661
-0.018599,0.0024887,0.0066474,0.0080578,0.027737,0.052029,0.0053576,0.0031081,0.0074404,0.011738,-0.0025374,0.007296,0.012071,-0.012124,-0.011016,0.0059456,-0.011634,-0.0094515,0.0087295,0.019196,0,-0.0011184,0.028542,0.031065,0.014173,0.028811,0.025934,0.012072,0.0033556,0.012051,0.0058242,-0.015376,0.0063933,0.015456,0.027377,0.02125,0.01379,-0.0022288,0.027856,0.024862,-0.015291,0.0078734,0.0028972,0,0.021991,-0.011162,-0.014415,0.004213,0.012789,-0.0068264,0.0055145,0.016301,-0.0050448,0.0069932,-0.0011591,-0.012815,0.0013658,-0.008475,0.017571,-0.015131,-0.016241,-0.030708,0.0047092,-0.010664,0.022874,-0.0011136,0.023783,0.0097303,0,-0.0043882,-0.00071858,0.010929,0.0073515,0.015392,0.013744,0.019802,-0.00056986,-0.012357,-0.021753,-0.0068272,-0.017303,-0.00896,-0.0059712,0.0034503,0.0031426,0.012948,0.019652,-0.0031903,0.014431,-0.0055835,-0.012767
0.046875,0.057042,0.051991,0.046165,0.071012,0.17954,0.058151,0.044979,0.04951,0.051548,0.067612,0.057573,0.061178,0.053861,0.053751,0.056411,0.061441,0.05008,0.046422,0.049698,0.03125,0.058985,0.09953,0.11484,0.069437,0.086087,0.069074,0.063069,0.064054,0.064068,0.06176,0.053648,0.056395,0.076023,0.084905,0.072262,0.068302,0.067548,0.10766,0.098984,0.062944,0.062089,0.077977,0,0.046875,0.0592,0.06232,0.05766,0.071829,0.049335,0.045376,0.065419,0.039457,0.062665,0.046875,0.050412,0.046875,0.046875,0.063215,0.055856,0.056115,0.086589,0.065066,0.06993,0.069407,0.057372,0.057721,0.046875,0,0.048739,0.052764,0.081344,0.04886,0.093739,0.093533,0.079244,0.055495,0.049791,0.066855,0.060794,0.065366,0.063834,0.098085,0.061452,0.06461,0.058936,0.054583,0.044215,0.060553,0.042607,0.047647
65.5,26,18.679,13.8,7.3417,6.0458,7.6048,8.8187,8.3737,8.5948,11.279,12.018,14.424,24.833,32.4,30.286,21.333,15.527,13.652,21.429,73.333,28.393,7.4505,5.9542,4.581,4.6798,6.4368,8.1029,9.9333,11.725,12.513,12.545,11.788,11.833,10.026,10.654,11.449,11.165,10.205,11.321,15.227,16.933,19.889,140,51.833,10.426,6.2365,6.2831,5.2277,13.516,22.867,25.933,27.4,30.7,28.167,33.9,41.833,45.833,35.4,41.2,28.643,9.6522,7.0985,7.1908,8.1714,9.7312,21.857,49.667,140,15.606,9.4706,6.0048,5.6703,7.6374,7.5,9.65,15.164,16.127,17.844,15.891,16.073,16.091,14.509,11.727,10.744,8.3516,8.9341,11.396,12.636,17.036,48.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
