3.4694,13.51,19.796,20.735,22.143,95.837,129.16,137.88,140.8,139.92,93.041,45.041,37.959,31.633,34.02,36.449,31.878,10.776,2.9796,29.306,47.939,62.122,75.224,72.959,54.429,38.184,33.204,33.531,29.633,32.367,30.02,29.918,48.265,113.12,123.88,125.18,114.18,24.653,16.612,15,11.245,7,21.673,56.163,110,121.61,117.86,95.653,24.714,13.286,12.878,10.163,7.0204,7,3.0204,3.102,6.3265,25.816,36.061,46.51,92.327,109,115.04,99.551,16.204,6.3673,11.265,17.102,21.531,102.88,133.92,141.35,144.69,95.224,49.837,46.571,43.612,42.592,38.082,38.367,34.041,16.51,9.9796,55.265,69.796,85.184,94.571,64.898,45.694,45.061,37.816,29.49,28.531,27.857,23.857,27.633,28.449,28.265,28.306,29.959,33.837,38.633,57.265,89.224,93.776,81.878,56.286,24.592,8.102,23.184,68.041,161.43,181.02,188.18,171.02,51.041,28.449,27.02,22.51,22.959,16.061,16.163,24.286,29.939,39.122,92.816,201.84,207.35,191.22,144.71,44.02,44.551,40.102,46.531,31.204,18.327
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020408,0.081633,0.10204,0.10204,0.10204,0.4898,0.57143,0.59184,0.61224,0.63265,0.46939,0.22449,0.18367,0.14286,0.16327,0.18367,0.16327,0.061224,0.020408,0.14286,0.22449,0.28571,0.34694,0.34694,0.26531,0.18367,0.16327,0.16327,0.14286,0.16327,0.14286,0.14286,0.2449,0.53061,0.55102,0.55102,0.55102,0.12245,0.081633,0.081633,0.061224,0.040816,0.12245,0.28571,0.53061,0.55102,0.57143,0.53061,0.14286,0.081633,0.081633,0.061224,0.040816,0.040816,0.020408,0.020408,0.040816,0.14286,0.18367,0.22449,0.46939,0.5102,0.5102,0.4898,0.081633,0.040816,0.061224,0.081633,0.10204,0.53061,0.59184,0.61224,0.63265,0.4898,0.22449,0.22449,0.20408,0.20408,0.18367,0.18367,0.16327,0.081633,0.061224,0.2449,0.30612,0.38776,0.44898,0.30612,0.22449,0.22449,0.18367,0.14286,0.14286,0.14286,0.12245,0.14286,0.14286,0.14286,0.14286,0.14286,0.16327,0.18367,0.26531,0.42857,0.42857,0.36735,0.26531,0.14286,0.040816,0.12245,0.38776,0.7551,0.79592,0.85714,0.89796,0.26531,0.14286,0.14286,0.12245,0.12245,0.081633,0.081633,0.12245,0.14286,0.18367,0.4898,0.91837,0.93878,0.89796,0.7551,0.20408,0.20408,0.18367,0.22449,0.16327,0.10204
5.898,5.2245,5.2245,5.2245,5.2245,5.2245,4.5918,4.5918,4,3.449,3.449,5.898,5.898,6.6122,5.898,5.898,5.898,5.898,27.939,25,9.8776,9,7.3673,6.6122,6.6122,5.898,5.898,5.898,5.2245,5.2245,5.2245,5.2245,5.2245,5.898,5.898,5.898,6.6122,9,34.306,32.653,31.041,7.3673,6.6122,5.898,5.2245,5.898,5.2245,5.2245,5.898,7.3673,7.3673,7.3673,7.3673,7.3673,8.1633,8.1633,7.3673,5.898,5.898,5.898,6.6122,7.3673,8.1633,9,32.653,36,7.3673,6.6122,5.898,5.898,5.2245,4.5918,4,3.449,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,18.367,13.796,12.755,9.8776,9,8.1633,7.3673,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,6.6122,7.3673,7.3673,8.1633,8.1633,9,9,9.8776,11.755,13.796,14.878,8.1633,7.3673,6.6122,2.0408,1.3061,0.5102,0.18367,0.18367,0.081633,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.020408,0.020408,0.32653,0.5102,9,9,9,8.1633,9,9.8776
0,17.163,16,16,16,1,0.73469,0.5102,0.5102,0.5102,0.5102,0.32653,0.32653,0.5102,0.5102,0.5102,0.73469,17.163,0,1,0.73469,0.5102,0.32653,0.5102,0.5102,0.5102,0.5102,0.5102,0.73469,0.73469,1,1.3061,1,0.73469,0.5102,0.5102,0.32653,0.32653,0.32653,0.5102,1,16,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,0.32653,0.5102,16,16,0,0,16,0.32653,0.32653,0.5102,0.5102,0.5102,0.32653,0.32653,0.5102,0.5102,14.878,14.878,14.878,0.73469,0.32653,0.32653,0.32653,0.32653,0.18367,0.18367,0.18367,0.18367,0.32653,0.32653,0.5102,14.878,5.2245,2.4694,1.6531,1.3061,0.73469,0.73469,0.5102,0.18367,0.18367,0.32653,0.18367,0.18367,0.18367,0.18367,0.18367,0.18367,0.18367,0.18367,0.18367,0.32653,0.32653,0.5102,0.73469,1,2.0408,4.5918,14.878,0.18367,0.081633,0.081633,0.081633,0.081633,0.081633,0.081633,0.081633,0.020408,0.020408,0.020408,41.327,41.327,11.755,11.755,11.755,0.5102,0.18367,0.081633,0.020408,0.020408,0,0,0.020408,0.020408,0.081633,0.5102
0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0,0,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2
18,19,19,19,19,30,30,30,30,29,28,32,33,33,31,30,28,19,38,39,36,36,34,33,32,33,34,34,30,31,30,28,30,31,31,31,32,38,44,43,41,21,28,30,31,31,31,30,30,32,33,28,21,21,21,21,21,30,30,29,32,32,33,34,43,44,21,21,20,31,31,31,30,29,33,33,33,33,31,33,29,21,32,33,33,32,33,32,31,33,34,31,34,34,33,34,34,34,34,34,36,34,34,33,33,34,33,31,22,30,31,29,28,27,26,20,22,28,25,25,3,3,10,12,12,0,0,0,0,0,0,0,0,0,0,0
0,0.12188,0.71705,0.61469,0.67177,0.56466,0.34093,0.3458,0.37663,0.45406,0.69606,0.61599,0.56298,0.46655,0.6215,0.69449,0.69949,0.12745,0,0.39982,0.64558,0.49226,0.46421,0.65034,0.53652,0.54803,0.40065,0.61447,0.54403,0.81317,0.6058,0.61018,0.58378,0.52674,0.37856,0.49555,0.56305,0.70017,0.50775,0.19813,0.18518,0.014431,0.53483,0.53156,0.54882,0.44553,0.49967,0.54881,0.41441,0.19883,0.1953,0.35758,0.34634,0.47621,0,0,0.28862,0.59601,0.57759,0.69465,0.57088,0.55538,0.42699,0.58775,0.50031,0,0.26531,0.44134,0.79054,0.48358,0.51395,0.43228,0.41579,0.68737,0.78597,0.74925,0.74626,0.72704,0.62853,0.67528,0.79423,0.56933,0.36735,0.47642,0.59609,0.50775,0.68856,0.70889,0.64886,0.82481,0.61313,0.80008,0.74954,0.56138,0.70121,0.72507,0.68374,0.73841,0.73379,0.54312,0.64285,0.53394,0.47247,0.71959,0.41588,0.5933,0.60643,0.20321,0.1876,0.36886,0.53098,0.46301,0.36913,0.51058,0.56154,0.52148,0.60465,0.43187,0.36471,0.60067,0.79433,0.75978,0.6751,0.50306,0.57867,0.76932,0.41383,0.57394,0.62081,0.58577,0.5988,0.63576,0.52727,0.82546,0.61953,0.4164
0,-0.016263,-0.0020105,0.020103,0.019591,-0.007825,0.019248,0.041646,0.012736,0.023165,0.0061024,0.012617,0.01691,0.0064585,-0.004598,0.00079517,0.0014512,-0.010776,0,-0.0031329,0.009529,0.013626,0.032956,0.014401,0.010366,0.0079349,-0.0022209,-0.0019948,0.0020506,0.0030814,-0.0027698,0.0033211,0.0045455,-0.0025241,0.012226,0.027563,0.011094,0.012675,0.0095972,0.0015871,-0.012676,0,-0.0041585,0.011643,0.012649,0.011447,0.0072113,-0.0089646,0.0002659,0.0038512,-0.013884,-0.0021328,0,0,0,0,0,-0.019085,0.0045077,0.013558,-0.0082729,0.0050317,0.023623,0.010931,0.0090127,0,0,-0.0012932,0.0087713,-0.0037733,0.031303,0.026039,0.020913,-0.0018722,0.014338,0.010756,0.010891,0.010969,0.02071,0.0086823,0.006297,0.011572,0,0.020787,0.018508,0.012589,0.012375,0.0092736,0.0067466,0.005478,-0.005618,0.0040742,0.0022159,-0.0030247,0.0051132,-0.0036542,-0.0042661,0.0008312,0.006132,-0.0011646,0.01589,0.0070403,0.0070234,0.010231,0.0066454,0.018227,0.023847,0.017335,0,-0.0003911,-0.018785,0.011805,0.0095515,0.0173,-0.0064741,0.0034122,0.0062348,-0.0022825,0.0034976,-0.0041965,-0.0014275,0.00070057,-0.013519,-0.0039352,0.0050511,-0.0081694,0.011933,0.019573,0.013569,-0.0097759,0.022606,0.021793,0.013482,0.0095887,-0.0052788,0.0030109
0,0.043816,0.031112,0.049222,0.051387,0.054556,0.081632,0.18454,0.056426,0.10833,0.037633,0.038944,0.051555,0.037935,0.032384,0.036808,0.03394,0.030612,0,0.036464,0.038183,0.052534,0.10434,0.036655,0.040514,0.038288,0.031127,0.043374,0.05513,0.02819,0.036013,0.040215,0.033482,0.033155,0.04773,0.11736,0.055197,0.034095,0.04151,0.035991,0.030612,0.020408,0.033927,0.044495,0.057025,0.052354,0.037835,0.041727,0.031806,0.031268,0.040221,0.030612,0.020408,0.020408,0,0,0.020408,0.044499,0.034565,0.047344,0.036504,0.040226,0.10003,0.041217,0.038839,0,0.030612,0.022348,0.039377,0.052696,0.11191,0.092196,0.07516,0.035356,0.042055,0.029754,0.038315,0.032475,0.054588,0.045047,0.031009,0.042303,0.030612,0.077284,0.055059,0.043903,0.045142,0.037985,0.042386,0.030511,0.032139,0.037298,0.034367,0.036627,0.027568,0.029137,0.025234,0.035894,0.037302,0.026795,0.050047,0.034796,0.048405,0.038802,0.064458,0.048875,0.073996,0.049576,0.020408,0.02852,0.060619,0.05309,0.047491,0.065036,0.042224,0.035398,0.035873,0.044568,0.040079,0.032083,0.028588,0.031539,0.03449,0.024466,0.026281,0.030761,0.068628,0.068715,0.048201,0.052035,0.087034,0.069894,0.059812,0.036502,0.039461,0.035257
