13.469,22.531,35.344,41.594,59.813,89.563,120.47,139.38,134.84,130.03,112.59,74.594,53.219,51.281,41.781,38.125,42.469,40.656,55.719,62.344,51.438,35.813,14.031,33,93.344,112.63,134.22,141.41,129.63,103.63,87.563,57.25,53.625,48.313,52.625,50.406,49.25,51.469,55.125,68.406,77.781,77.969,73.031,55.75,23.25,10.344,55.5,160.28,175.06,172.94,177.72,68.25,32.406,27.906,21.563,16.531,11.625,11.219,13.781,12.125,20.438,21.688,24.344,131.84,166.59,170.97,178.94,147.31,22.563,55.188,88.625,118.03,127.06,140.06,109.22,82.844,72.438,62.906,52.906,50.531,57.281,56.063,55.938,54.938,60.031,74.469,85.75,80.563,85.313,79.938,53.281,20.563,16.656,30.281,43.656,51.906,60.281,52.594,43.438,32.781,21.531,3.8438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09375,0.125,0.1875,0.21875,0.3125,0.46875,0.625,0.71875,0.75,0.6875,0.625,0.40625,0.28125,0.3125,0.28125,0.21875,0.25,0.25,0.34375,0.34375,0.28125,0.21875,0.09375,0.21875,0.46875,0.5625,0.6875,0.71875,0.65625,0.5625,0.46875,0.3125,0.3125,0.25,0.28125,0.28125,0.28125,0.28125,0.3125,0.40625,0.40625,0.40625,0.40625,0.3125,0.15625,0.0625,0.375,0.8125,0.875,0.875,0.875,0.40625,0.1875,0.15625,0.125,0.09375,0.0625,0.0625,0.09375,0.0625,0.125,0.125,0.15625,0.84375,0.875,0.875,0.875,0.90625,0.125,0.3125,0.4375,0.59375,0.65625,0.71875,0.5625,0.46875,0.40625,0.34375,0.28125,0.28125,0.34375,0.3125,0.3125,0.3125,0.34375,0.4375,0.46875,0.4375,0.4375,0.40625,0.3125,0.125,0.09375,0.15625,0.21875,0.28125,0.3125,0.28125,0.25,0.1875,0.15625,0.03125
0.125,0.03125,0.03125,0.125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.125,13.781,12.5,8,6.125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,6.125,3.125,2,1.125,0.78125,0.5,0.28125,0.125,0.28125,0.125,0.125,0.03125,0.03125,0.125,0.125,0.125,0.125,0.28125,0.28125,0.5,1.125,2,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,18,19.531,19.531,21.125,21.125,21.125,19.531,19.531,0.125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0,19.531,4.5,3.125,1.5313,1.125,0.78125,0.78125,0.5,0.28125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.125,0.125,0.125,0.125,0.28125,0.28125,0.5,0.78125,1.5313,18,16.531,15.125,13.781,12.5,12.5,13.781,13.781,16.531,21.125
22.781,22.781,19.531,16.531,12.5,7.0313,3.7813,2,0.5,0.03125,0,0.125,0.125,0.125,1.5313,3.7813,5.2813,7.0313,10.125,12.5,15.125,18,24.5,3.7813,1.5313,1.125,0.5,0.5,0.28125,0.125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.125,0.125,0.28125,0.5,0.5,0.78125,1.125,24.5,7.0313,0.78125,0.28125,0.28125,0.28125,0.28125,0.125,0.125,0.28125,0.28125,0.5,0.5,0.5,0.78125,1.125,1.125,1.5313,0.125,0.28125,0.28125,0.28125,0.28125,0.28125,3.125,2,1.125,0.78125,0.5,0.28125,0.125,0.125,0.125,0.125,0.125,0.03125,0.03125,0.03125,0.03125,0.125,0.125,0.28125,0.28125,0.5,0.78125,0.78125,13.781,0.78125,0.5,0.28125,0.125,0.125,0.28125,0.28125,0.78125,0.5,0
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
4,4,5,6,8,10,12,13,16,19,20,22,26,26,21,18,13,12,8,7,6,5,3,18,18,18,18,17,17,18,17,20,21,22,20,18,19,19,17,15,14,14,15,16,14,4,9,15,16,16,16,18,28,28,28,28,28,28,27,27,15,15,12,16,16,16,16,15,28,18,18,17,17,17,18,18,18,18,18,18,18,18,18,19,17,15,14,15,14,15,14,0,0,0,0,0,0,0,0,0,0,0
0.66756,1.1346,1.3409,1.0601,0.81386,1.021,1.0402,0.7784,0.87514,0.90511,0.96262,1.0399,0.68657,0.97566,1.1247,0.82595,1.1376,0.38198,0.97503,0.91497,0.97484,0.89971,0.62915,0.30906,0.97784,0.77097,0.79192,0.66427,0.82506,0.70756,1.0739,1.1135,1.1901,0.6706,1.099,1.1211,0.99467,0.81714,0.98482,1.0907,0.73671,0.88024,0.96227,0.77156,0.81412,0.55243,0.96916,0.76089,0.71615,0.65844,0.54614,1.2348,1.3455,1.4939,1.1605,0.56018,0.044194,0.24307,0.94734,0.66291,0.82778,1.163,1.1021,0.99607,0.74828,0.70569,0.41982,0.91964,0.88001,0.85139,0.47166,0.81667,0.62699,0.61319,0.58377,1.01,0.93944,1.098,0.73245,0.87374,0.99837,0.99185,1.1028,0.985,0.97751,1.0717,0.99829,0.88047,0.89763,0.88169,1.1579,1.0697,0.25452,0.91893,0.78164,0.95621,0.71054,0.9224,0.91456,1.0752,0.48432,0
0.022097,0.014515,0.018301,0.027695,0.03444,0.035448,0.046061,0.031318,0.016621,0.035494,0.027978,0.018921,0.00055965,-0.015899,-0.022391,0.0063829,0.0048185,0.004756,0.0037301,0.038588,0.02645,-0.0075757,-0.0074707,0.0058708,0.040153,0.06008,0.068982,0.020382,0.038082,0.040533,0.021678,0.03534,0.003218,0.016029,0.037098,0.01266,0.00089973,0.021732,-0.0050664,0.0041745,0.015047,0.027221,0.028967,-0.0097994,0.011502,0,-0.033798,0.049751,0.047267,0.042139,0.033528,0.0063664,0.016604,0.01305,0.028397,-0.021788,0,0,-0.02207,0,0.0051254,0.015517,-0.0040582,-0.015366,0.036228,0.020203,0.0035919,-0.0044178,0.0015981,0.015,0.027631,0.056369,0.012517,0.013306,0.0092981,0.014101,0.018999,0.018501,0.014433,0.037518,0.0087555,0.025923,0.018992,0.020773,0.012018,0.0091542,0.023411,0.00862,0.0037836,0.019593,0.0050128,-0.010729,-0.020607,0.020805,0.02934,0.031302,0.031911,0.018151,0.023708,0.0041655,-0.00025228,0
0.046875,0.051632,0.050483,0.084681,0.093889,0.099248,0.12016,0.094757,0.06997,0.12183,0.083712,0.077134,0.075375,0.078794,0.068745,0.056887,0.049729,0.069693,0.045135,0.097335,0.080755,0.10337,0.046875,0.056317,0.10929,0.18217,0.22979,0.078436,0.10504,0.12988,0.076515,0.087063,0.048376,0.071972,0.09161,0.05499,0.051139,0.079956,0.054607,0.052777,0.081434,0.12751,0.07473,0.057633,0.03754,0.03125,0.088607,0.1757,0.17102,0.16054,0.18621,0.042035,0.046318,0.038,0.065885,0.046875,0.03125,0.03125,0.046875,0.03125,0.040581,0.057176,0.041404,0.06618,0.11855,0.082368,0.070846,0.056215,0.052906,0.067858,0.096928,0.16841,0.10096,0.083367,0.059104,0.06569,0.054568,0.05707,0.089842,0.12133,0.045739,0.07014,0.058892,0.057265,0.051339,0.054921,0.07232,0.07059,0.059806,0.1044,0.042323,0.051826,0.046875,0.06349,0.077315,0.090736,0.081489,0.079893,0.086211,0.044765,0.043856,0
