8.6809,18.702,24.851,81.362,109.17,122.62,125.11,114,71.383,42.66,35.213,31.745,28.149,27.447,23.404,15.872,10.702,18.383,40.766,53.255,62.596,63.255,61.426,46.468,41.34,35.851,37.872,36,36.553,39.787,67.809,100.98,111.36,111.09,90.894,54.638,22.213,18.021,15.553,2.617,2.5745,19.766,37.34,75.277,106.04,119.47,114.77,99.596,52.319,24.851,17.83,11.638,12.255,12.596,15.681,19.404,26.745,34.106,40.851,84.787,100.13,108.89,98.383,77.66,24.681,11.064,8.2979,15.702,21.128,76.468,103.68,118.55,125.11,116.45,79.064,50.404,40.809,36.957,34.936,30.447,22.021,11.894,5.0213,27.66,48.66,67.511,82.681,86.936,88.596,79.319,54.915,43.298,35.362,26.489,26.106,23.894,24.574,26.957,28.936,26.021,26.191,31.936,30.872,40.66,49.043,83.255,87.128,84.915,73.809,55.404,38.872,15.574,19.043,31.787,79.128,126.72,148.11,157.36,146.91,100.72,55.021,25.553,18.553,14.66,9.2766,11.83,14.532,20.894,24.979,31.553,79.447,135.3,179.77,196.96,189.77,165.87,108.13,50.404,38.447,36.447,39,38.638,38.979,25.255,5.1702
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06383,0.12766,0.14894,0.53191,0.59574,0.59574,0.6383,0.6383,0.42553,0.25532,0.21277,0.19149,0.17021,0.17021,0.14894,0.10638,0.085106,0.12766,0.25532,0.29787,0.34043,0.3617,0.38298,0.29787,0.2766,0.23404,0.25532,0.23404,0.23404,0.25532,0.44681,0.59574,0.59574,0.59574,0.55319,0.38298,0.12766,0.10638,0.10638,0.021277,0.021277,0.14894,0.25532,0.48936,0.59574,0.59574,0.59574,0.59574,0.3617,0.17021,0.12766,0.085106,0.085106,0.085106,0.10638,0.12766,0.17021,0.21277,0.25532,0.57447,0.55319,0.55319,0.53191,0.48936,0.17021,0.085106,0.06383,0.10638,0.12766,0.51064,0.57447,0.59574,0.6383,0.65957,0.48936,0.29787,0.23404,0.21277,0.21277,0.19149,0.14894,0.085106,0.042553,0.21277,0.29787,0.3617,0.42553,0.44681,0.48936,0.48936,0.34043,0.2766,0.23404,0.17021,0.17021,0.14894,0.14894,0.17021,0.19149,0.17021,0.17021,0.21277,0.19149,0.25532,0.29787,0.51064,0.46809,0.42553,0.38298,0.31915,0.25532,0.12766,0.14894,0.21277,0.55319,0.74468,0.76596,0.80851,0.85106,0.65957,0.38298,0.17021,0.12766,0.10638,0.06383,0.085106,0.10638,0.14894,0.17021,0.21277,0.57447,0.82979,0.95745,0.95745,0.95745,0.93617,0.70213,0.31915,0.23404,0.21277,0.23404,0.23404,0.25532,0.19149,0.042553
5.4468,4.7872,4.1702,4.1702,3.5957,3.5957,3.0638,3.0638,3.0638,4.1702,5.4468,5.4468,5.4468,5.4468,5.4468,5.4468,5.4468,24.596,9.383,8.5106,7.6809,6.8936,6.1489,6.1489,5.4468,5.4468,4.7872,4.7872,4.7872,4.7872,4.7872,4.7872,5.4468,5.4468,6.1489,6.8936,30.723,30.723,30.723,34.043,8.5106,6.8936,6.8936,6.1489,5.4468,5.4468,5.4468,5.4468,5.4468,6.8936,6.8936,6.8936,6.1489,6.1489,5.4468,5.4468,5.4468,5.4468,5.4468,6.1489,6.8936,6.8936,7.6809,9.383,27.574,34.043,7.6809,6.8936,6.1489,6.1489,5.4468,5.4468,4.7872,4.1702,4.1702,4.7872,6.1489,6.8936,6.8936,6.8936,6.8936,7.6809,8.5106,14.383,11.255,10.298,8.5106,8.5106,7.6809,7.6809,6.8936,6.8936,6.1489,6.1489,6.1489,6.1489,6.1489,5.4468,5.4468,6.1489,6.1489,6.1489,6.8936,6.8936,6.8936,7.6809,8.5106,9.383,10.298,11.255,12.255,14.383,8.5106,7.6809,3.0638,2.5745,2.1277,1.3617,0.76596,0.34043,0.085106,0.085106,0.085106,0.021277,0.021277,0,0,0,0,0,0,0,0.021277,0.021277,0.085106,0.19149,0.34043,1.0426,8.5106,8.5106,8.5106,8.5106,8.5106,9.383,11.255
16.681,14.383,14.383,1.0426,0.76596,0.76596,0.53191,0.53191,0.53191,0.53191,0.53191,0.53191,0.53191,0.53191,0.76596,1.3617,15.511,1.0426,0.53191,0.34043,0.34043,0.34043,0.34043,0.34043,0.34043,0.53191,0.53191,0.76596,0.76596,1.0426,0.76596,0.34043,0.19149,0.19149,0.34043,0.19149,0.19149,0.34043,0.34043,0,0,0.34043,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.34043,14.383,14.383,14.383,0.34043,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,0.19149,13.298,12.255,12.255,0.53191,0.34043,0.19149,0.085106,0.085106,0.085106,0.085106,0.085106,0.085106,0.085106,0.19149,0.34043,12.255,13.298,2.5745,2.1277,1.3617,1.0426,0.76596,0.53191,0.53191,0.34043,0.19149,0.19149,0.19149,0.085106,0.085106,0.085106,0.085106,0.085106,0.085106,0.085106,0.085106,0.19149,0.19149,0.34043,0.34043,0.53191,0.76596,1.0426,1.7234,2.1277,4.1702,0.021277,0,0.021277,0.021277,0.021277,0.021277,0.021277,0.021277,0.021277,0.021277,0.021277,0.021277,39.34,39.34,12.255,10.298,10.298,10.298,0.34043,0.085106,0.021277,0.021277,0,0,0,0,0,0,0,0.021277,0.021277,0.085106,10.298
0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.1,0,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1
18,19,18,28,28,28,28,28,26,27,30,30,30,30,28,23,19,38,34,34,33,32,32,31,30,30,29,28,28,27,29,30,31,31,31,30,42,41,41,41,21,30,30,31,31,31,31,31,29,32,32,26,20,20,19,23,28,29,29,31,32,32,32,33,41,43,21,21,21,30,30,31,31,30,29,29,31,32,32,31,27,22,22,32,31,31,31,31,31,31,31,32,30,31,32,33,33,31,30,32,32,32,32,33,31,32,32,32,32,31,31,30,35,34,31,29,29,28,27,22,18,20,25,20,3,3,7,12,13,13,25,25,24,24,25,0,0,0,0,0,0,0,0,0,0
0.25085,0.52303,0.76432,0.57195,0.49597,0.43547,0.55474,0.57775,0.66366,0.61253,0.60315,0.57671,0.48664,0.52681,0.44974,0.51624,0.15281,0.28798,0.68443,0.69743,0.66379,0.57687,0.56132,0.49646,0.43245,0.39322,0.50865,0.49322,0.5153,0.55206,0.57517,0.48933,0.49706,0.56246,0.46349,0.63251,0.73864,0.47946,0.44335,0,0,0.26166,0.44714,0.58331,0.55186,0.54172,0.40771,0.38131,0.48785,0.39429,0.1863,0.21018,0.41585,0.40926,0.51254,0.6254,0.58251,0.58579,0.56388,0.5593,0.35694,0.53926,0.48137,0.38155,0.32207,0.19807,0.2766,0.40943,0.67212,0.60782,0.49672,0.45604,0.5281,0.60071,0.76593,0.73022,0.67311,0.53854,0.52929,0.43318,0.4152,0.2846,0.060179,0.15667,0.37809,0.64126,0.69076,0.56524,0.53271,0.56925,0.54177,0.56437,0.54232,0.40815,0.47425,0.40572,0.37902,0.47001,0.47271,0.3707,0.37778,0.47612,0.41527,0.55868,0.61039,0.60439,0.43023,0.50262,0.65081,0.56595,0.39568,0.10765,0.21398,0.36581,0.51133,0.41042,0.38292,0.42237,0.43972,0.44134,0.50865,0.32754,0.26834,0.37352,0.43673,0.48362,0.51298,0.37876,0.40669,0.44687,0.51328,0.46438,0.4467,0.36441,0.40569,0.45051,0.59868,0.59419,0.60577,0.56159,0.57708,0.5073,0.43927,0.22428,0.075224
0.0093021,-0.00091502,0.0028803,-0.025652,0.026343,0.047335,0.038844,-0.0048896,-0.002413,0.0075758,0.011025,0.013041,0.0091089,0.0082586,-0.01539,-0.0020351,0.0051477,-0.0038576,-0.00011635,0.0052181,0.0067601,0.0063107,-0.010011,-0.0042209,-0.0065672,-0.0055333,-0.0036071,-0.0055604,-0.011091,-0.010662,-0.010942,0.0030278,0.020039,0.026522,-9.3218e-05,-0.03184,0.0054414,0.0085345,0.0029086,0,0,-0.015635,-0.0037705,-0.0091576,0.0043491,0.02327,0.013001,-0.0081869,-0.0097039,5.514e-05,-0.023607,0.00094618,0.0011583,-0.0074908,-0.007479,-0.007208,-0.017674,-0.011446,-0.0054727,-0.015793,0.0071073,0.039757,0.027763,0.001449,-0.0030239,0,-0.014945,-0.0083122,0.005453,-0.019157,0.0070277,0.026298,0.030545,-0.0044959,-0.0053913,0.0016553,0.0034971,0.0012996,0.0051782,-0.0090414,-0.012305,-0.0012512,0,-0.0050554,0.018689,0.02153,0.024077,0.02936,0.024642,-0.0025688,0.0038748,0.0048794,0.0034622,0.00090716,0.0026278,-0.0007222,-0.0070534,0.011666,0.0080057,0.0048341,0.00034562,0.0032371,0.0060263,-7.729e-05,0.0034995,-0.0056988,0.0082569,0.030044,0.017404,0.010121,0.012974,-0.0075576,-0.0033931,0.008948,-0.015994,-0.00037239,0.034799,0.033927,-0.00047662,0.0017978,-0.0079805,-0.012882,0.0057475,-0.017391,-0.0094704,-0.0069663,-0.012688,-0.01591,0.0030336,-0.003079,-0.022507,0.00068146,0.021563,0.042898,0.039775,-0.003189,-0.011633,-0.0066655,0.0092084,0.010873,0.007237,0.006005,0.0071078,-0.00032108,0
0.031915,0.032515,0.031794,0.071092,0.11512,0.15256,0.13677,0.044262,0.037868,0.035277,0.038872,0.046971,0.051742,0.055038,0.040559,0.031546,0.032013,0.050187,0.029897,0.038016,0.037,0.058151,0.054678,0.046302,0.047335,0.04114,0.033447,0.039463,0.040406,0.044028,0.048742,0.068613,0.083494,0.080056,0.066727,0.09059,0.037336,0.036409,0.028724,0,0,0.057361,0.04859,0.043857,0.055548,0.088854,0.070789,0.041488,0.038582,0.043278,0.06955,0.026824,0.02938,0.031506,0.039506,0.041419,0.053214,0.052683,0.040123,0.04382,0.095245,0.12349,0.091026,0.04743,0.033294,0.037069,0.031915,0.045113,0.043734,0.064904,0.064762,0.093739,0.11201,0.043509,0.03425,0.035458,0.040628,0.045067,0.048099,0.048601,0.051982,0.038867,0.021277,0.045476,0.060844,0.057523,0.06286,0.085575,0.092291,0.033719,0.038689,0.039607,0.028339,0.032911,0.038299,0.038961,0.026755,0.05425,0.039541,0.034755,0.027376,0.035525,0.041815,0.038433,0.038054,0.035249,0.059437,0.085711,0.05117,0.040377,0.043622,0.033442,0.035205,0.041117,0.045079,0.051615,0.13911,0.11739,0.045574,0.044438,0.037198,0.047756,0.031917,0.051962,0.031915,0.030341,0.034269,0.059124,0.049139,0.044504,0.058784,0.058974,0.068117,0.16765,0.16976,0.055066,0.049284,0.033706,0.038614,0.040278,0.041259,0.047987,0.033261,0.037721,0.021277
59.5,31,22.036,7.8492,4.9483,3.3916,3.8065,4.929,8.3095,13.526,16.273,17.844,19.917,20.833,24.464,35.267,51.7,31.714,14.667,10.162,8.3676,8.902,9.9591,13.2,15.077,16.97,16.41,16.864,16.47,15.256,9.3853,5.8966,4.6946,4.7266,6.7179,11.825,23.143,28.533,36.267,132,134,30.571,16.731,8.4312,5.3103,3.7562,4.3005,6.0567,12.261,24.222,32.952,47.3,44.4,42.8,35.867,29.429,21.75,17.218,14.615,7.672,5.4815,4.3077,5.3877,8.0254,24.444,50,62.5,35.8,25.571,8.42,5.3228,3.8621,3.8065,4.9032,7.7862,11.438,13.439,14.782,16.509,19.2,26.786,46.1,91.333,22.727,12.219,7.5948,5.781,5.4935,6.163,7.7428,11.022,14.066,17.318,22.083,22.583,23.643,22.5,21.472,20.778,22.694,22.472,19.073,18.756,14.731,12.048,7.3567,5.9881,5.281,6.5556,10.175,15.808,38,31.786,19.2,8.2934,4.7127,3.3318,3.0958,4.0183,6.3931,11.719,23.306,31.333,39.067,54.833,46.4,39.467,28.679,24.056,19.4,8.336,4.5974,2.9237,2.143,2.4696,3.4586,5.9412,12.133,15.121,15.218,14.727,14.985,15.744,24.622,89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
