12.515,25.061,29.515,106.18,169.79,171.79,177.24,182.82,109.67,74.212,61.394,59.091,60.364,55.576,50.545,42.909,7.9697,35.848,70.515,94.121,110.58,102.03,79.394,51.121,45.091,39.091,36.182,42.061,48.091,61.364,148.67,166.33,169.58,149.85,89.758,39.697,29.212,18.212,4.6061,25.242,44.364,116.94,167.7,167.24,174.45,155.58,24.697,15.333,18.818,14.545,11.909,16.545,22.061,24.303,35.788,44.061,48.515,52.727,119.3,150.24,149.45,135.76,77.242,10.848,13.061,8.8788,20.091,28.576,131.88,184.52,190.24,189.09,180.82,91.152,59.939,58.758,58.364,63.848,62.636,61.273,13.97,39.303,83,98.424,124.7,137.21,123.3,92.03,67.97,56.152,46.667,36.667,38.576,35.697,35.242,33.576,34.485,39.515,39.515,41.091,45.606,52.727,68.394,74.091,96.455,122.61,116.24,108.09,81.576,46.606,8.4848,14.273,24.394,50.03,157.7,179.09,191,194.42,166.42,72.061,66.091,62.424,62.667,61.545,59.152,56.697,37.091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090909,0.12121,0.15152,0.60606,0.84848,0.87879,0.90909,0.9697,0.63636,0.42424,0.33333,0.30303,0.33333,0.30303,0.27273,0.24242,0.060606,0.21212,0.39394,0.48485,0.60606,0.54545,0.42424,0.30303,0.27273,0.24242,0.21212,0.24242,0.27273,0.36364,0.81818,0.84848,0.84848,0.78788,0.54545,0.24242,0.18182,0.12121,0.030303,0.15152,0.24242,0.69697,0.87879,0.87879,0.87879,0.87879,0.15152,0.090909,0.12121,0.090909,0.060606,0.090909,0.12121,0.12121,0.21212,0.24242,0.27273,0.30303,0.69697,0.81818,0.81818,0.75758,0.48485,0.060606,0.090909,0.060606,0.12121,0.15152,0.75758,0.90909,0.93939,0.93939,0.93939,0.48485,0.30303,0.30303,0.30303,0.33333,0.33333,0.36364,0.090909,0.24242,0.39394,0.45455,0.57576,0.63636,0.66667,0.48485,0.33333,0.30303,0.24242,0.18182,0.21212,0.18182,0.18182,0.18182,0.18182,0.21212,0.21212,0.21212,0.24242,0.27273,0.36364,0.36364,0.51515,0.63636,0.57576,0.51515,0.42424,0.27273,0.060606,0.090909,0.12121,0.30303,0.84848,0.87879,0.93939,0.9697,0.93939,0.36364,0.33333,0.33333,0.33333,0.33333,0.30303,0.30303,0.24242
1.0909,1.0909,0.75758,0.75758,0.48485,0.27273,0.12121,0.030303,0.030303,0.12121,0.48485,0.75758,0.75758,0.75758,0.75758,0.75758,0.75758,16.03,2.4545,1.9394,0.75758,0.75758,0.75758,0.75758,0.48485,0.48485,0.27273,0.27273,0.27273,0.27273,0.48485,0.48485,0.48485,0.48485,1.4848,1.4848,20.485,20.485,18.939,1.4848,1.0909,0.75758,0.48485,0.48485,0.27273,0.27273,22.091,25.485,1.4848,1.0909,0.75758,0.48485,0.48485,0.48485,0.27273,0.27273,0.48485,0.48485,0.48485,0.48485,0.75758,1.0909,3.6667,25.485,23.758,1.0909,0.75758,0.48485,0.27273,0.030303,0.030303,0.030303,0.030303,0.030303,0.48485,0.75758,0.48485,0.48485,0.48485,0.48485,1.4848,5.1212,3.0303,2.4545,1.4848,1.0909,0.75758,0.48485,0.48485,0.27273,0.27273,0.27273,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0.27273,0.27273,0.48485,0.75758,1.0909,1.4848,1.9394,2.4545,3.0303,3.6667,0.75758,0.48485,0.48485,0.27273,0.12121,0.030303,0,0,0.48485,0.75758,0.75758,0.48485,0.48485,0.48485,0.48485,1.0909
17.455,16.03,16.03,0.27273,0.030303,0.030303,0.030303,0,0,0,0,0,0,0.030303,0.030303,0.12121,20.485,0.27273,0.12121,0.030303,0.030303,0.030303,0.030303,0.030303,0.030303,0.12121,0.12121,0.27273,0.48485,0.48485,0.12121,0.030303,0.030303,0.030303,0.030303,0.030303,0.030303,0.12121,0,0.12121,0.030303,0.030303,0,0,0.030303,0.030303,0.030303,0.030303,0.030303,0.27273,20.485,20.485,18.939,18.939,0.030303,0.030303,0.030303,0.030303,0.030303,0.030303,0.030303,0.12121,0.12121,0.12121,0.12121,18.939,17.455,17.455,0.48485,0.12121,0.030303,0.030303,0.030303,0,0.030303,0.030303,0.030303,0.030303,0.030303,0.030303,16.03,4.3636,3.0303,2.4545,1.4848,1.0909,0.75758,0.48485,0.48485,0.27273,0.27273,0.27273,0.27273,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0.12121,0.27273,0.27273,0.27273,0.48485,0.75758,1.0909,1.4848,1.9394,3.0303,5.9394,12.121,18.939,18.939,0.75758,0.12121,0.12121,0.030303,0.030303,0.030303,0.030303,0,0,0.030303,0.030303,0.12121,0.12121,0.12121
0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.2,0.5,0.2,0.1,0.2,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
8,9,8,18,19,18,18,18,17,18,20,20,20,19,18,16,7,27,23,22,20,20,18,20,20,18,15,15,15,16,18,19,19,19,20,22,30,29,26,18,17,18,19,19,18,18,30,31,25,15,7,6,7,7,13,15,15,15,18,18,19,19,22,31,30,8,8,7,17,17,17,17,17,17,19,19,17,18,19,19,9,18,17,17,17,17,17,17,16,17,17,17,15,17,17,17,17,19,19,19,17,18,18,17,17,17,17,17,17,15,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43528,0.85795,0.84886,0.96187,0.70603,0.37863,0.55492,0.67295,1.0458,0.92926,0.83516,0.69587,0.92932,0.68168,0.811,0.61849,0.021427,0.71582,0.98489,0.65862,0.82172,0.65814,0.99101,0.81538,0.99977,0.8543,0.93349,0.86183,0.78759,0.89485,0.7162,0.69677,0.68779,0.56471,0.81067,1.0033,0.70644,0.50608,0,0.58076,0.83304,0.92172,0.62781,0.57451,0.49692,0.65728,0.85119,0.39549,0.50183,1.3094,0.44998,1.1973,1.388,0.84287,1.246,0.81886,0.93627,0.93956,0.8175,0.75408,0.91664,0.86075,0.77065,0.38569,0.66483,0.021427,1.0536,0.93366,0.97056,0.77958,0.7564,0.67439,0.72139,0.95519,0.9722,1.0697,1.1787,1.0898,1.0279,0.85412,0.68187,0.45047,0.91525,0.52858,0.57853,0.41687,1.0301,0.9936,0.85253,0.9539,0.54569,0.60535,1.0709,1.0446,1.0505,0.83202,0.83246,1.0094,0.87507,1.1012,1.0464,0.83924,0.96395,0.86997,0.86586,0.77651,0.622,0.63557,0.80801,0.69374,0.42855,0.26418,0.92092,1.3271,0.90439,0.57623,0.70346,0.55908,0.88355,0.96303,1.1006,1.1541,1.1717,1.0297,0.88265,0.80333,0.73123
-0.018544,-0.0086571,0.0058175,0.0084462,0.058968,-0.00037152,-0.012544,0.0026111,-0.0088909,-0.0010697,0.025002,0.011984,0.025041,0.013727,0.017124,0.015631,0,0.027489,0.012248,0.00075907,0.019056,0.037618,0.02645,0.022971,-0.0087887,-0.0073746,-0.026248,-0.016556,0.00090926,0.0090483,0.01246,0.035748,0.013588,0.032254,0.0012246,0.0025791,0.011748,-0.0034338,0,0.0049918,0.023968,-0.0067712,0.037042,0.016669,0.023624,0.0021079,0.015377,0.005628,-0.010668,-0.011093,0,0.018847,0.0047154,-0.0058341,-0.0027206,0.0019453,0.006249,-0.016984,-0.001114,0.018758,0.012028,0.012768,-0.00030969,0,-0.021427,0,-0.0020432,0.011943,-0.0088498,0.054942,0.036207,0.010017,-0.013447,0.020238,0.013853,0.028543,0.023492,0.017525,0.028132,0.0021525,0.019118,0.057263,0.032182,0.046204,0.00068741,-0.00072566,0.011496,0.020514,0.0031544,0.016322,0.013604,0.0084033,0.0021464,-0.014216,-0.006861,0.00021953,0.02297,0.015024,0.0014523,0.023999,0.01686,0.025773,0.021133,0.028846,0.022,0.014109,-0.0079702,0.032979,0.0249,0.00053486,0,-0.020166,0.0093952,-0.016269,0.024423,0.034289,0.056023,0.022984,0.0020897,0.027146,0.02968,0.024776,0.013876,0.013281,0.018901,0.018769,-0.0043476
0.045455,0.041599,0.054494,0.060545,0.20541,0.076226,0.083644,0.070032,0.062925,0.064387,0.079152,0.053718,0.062823,0.083056,0.10172,0.089318,0.030303,0.07578,0.058197,0.063658,0.084519,0.11718,0.072379,0.057266,0.055133,0.047079,0.056589,0.066048,0.04723,0.053826,0.075187,0.12951,0.075132,0.13724,0.043703,0.03958,0.071946,0.046706,0,0.048735,0.058516,0.06201,0.16809,0.092996,0.11428,0.067102,0.046961,0.045455,0.045945,0.045455,0.030303,0.045455,0.051308,0.0402,0.040732,0.040152,0.065873,0.085738,0.065207,0.066996,0.067444,0.064487,0.04688,0.030303,0.045455,0.030303,0.033141,0.036085,0.069779,0.18747,0.14193,0.087813,0.069946,0.076627,0.11803,0.085595,0.067899,0.054966,0.074615,0.061302,0.045455,0.15687,0.086329,0.16465,0.062424,0.083753,0.056635,0.065019,0.059089,0.085537,0.052078,0.072734,0.037964,0.044781,0.051918,0.06034,0.079065,0.060611,0.042233,0.057134,0.069078,0.071064,0.062166,0.086011,0.070182,0.064367,0.08274,0.13053,0.084628,0.039708,0.030303,0.045455,0.043068,0.048681,0.084804,0.15592,0.21358,0.09788,0.055982,0.073726,0.07843,0.060998,0.049357,0.043618,0.055527,0.070116,0.047637
