5.2,36.52,57.98,80.42,92.2,96.38,91.34,71.62,59.24,50.08,42.24,31.42,29.36,29.16,29.76,31.46,35.8,38.42,41.52,41.76,38.46,20.66,5.26,14.08,19.58,41.44,83.76,171.96,207.5,199.48,152.22,46.34,18.14,19.94,18.66,7.74,11.12,11.58,12.34,16.16,16.76,28.58,37.32,66.86,105.56,106.8,92.98,61.54,15.46,2.58,8.26,29.54,47.7,97.74,139.96,150.7,150.6,122.32,47.4,18.32,13.56,5.88,18.66,42.94,101.08,116.54,111.44,77.28,28.3,16.32,18.34,7.2,9.8,10.54,11.52,11.74,21,32.24,46.48,96.18,119.26,121.76,110.76,95,59.82,27.54,19.8,10.56,10.12,10.3,10.9,12.06,14.88,25.24,34.46,71.44,111.18,124.78,117.32,96.26,52.62,12.02,41.68,67.36,81.94,91.06,85.36,64.98,59.34,45.48,40.98,33.94,33.52,39.5,43.1,43.68,47.88,54.58,58.36,54.4,50.84,35.32,14.44,5.68,16.56,37.04,59.04,108.38,127.44,132.68,117.82,64.5,29.5,24.96,25.54,29.28,28.94,24.82,23.72,21.26,8.22,19.92,49.6,70.7,82.9,87.2,72.38,66.66,43.76,36.6,35.6,34.88,33.92,29.16,32.06,36.88,51.14,51.28,54.64,51.64,35.32,9.4,31.08,56.48,66.86,60.84,62.42,54.14,48.9,50.36,50.22,50.84,58.04,68.46,78.88,88.62,80.32,70.06,45.2,15.54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.22,0.3,0.38,0.42,0.46,0.46,0.36,0.3,0.26,0.22,0.16,0.16,0.16,0.16,0.16,0.18,0.2,0.22,0.22,0.22,0.14,0.04,0.08,0.1,0.24,0.46,0.9,0.94,0.94,0.88,0.28,0.1,0.12,0.12,0.04,0.06,0.06,0.06,0.08,0.08,0.16,0.2,0.36,0.52,0.5,0.46,0.36,0.1,0.02,0.06,0.18,0.26,0.54,0.68,0.68,0.68,0.64,0.3,0.1,0.08,0.04,0.12,0.24,0.52,0.54,0.54,0.44,0.18,0.1,0.12,0.04,0.06,0.06,0.06,0.06,0.12,0.18,0.26,0.52,0.54,0.54,0.5,0.48,0.36,0.16,0.12,0.06,0.06,0.06,0.06,0.06,0.08,0.14,0.18,0.42,0.54,0.54,0.52,0.48,0.32,0.08,0.24,0.32,0.36,0.44,0.44,0.32,0.32,0.24,0.22,0.18,0.18,0.22,0.24,0.24,0.26,0.28,0.28,0.26,0.26,0.2,0.1,0.04,0.1,0.2,0.3,0.54,0.56,0.58,0.58,0.36,0.16,0.14,0.14,0.16,0.16,0.12,0.12,0.12,0.06,0.14,0.28,0.34,0.38,0.44,0.36,0.36,0.22,0.2,0.2,0.18,0.18,0.16,0.18,0.2,0.28,0.24,0.26,0.26,0.2,0.06,0.2,0.3,0.34,0.3,0.32,0.28,0.24,0.26,0.26,0.26,0.3,0.34,0.38,0.42,0.38,0.34,0.26,0.1
18,15.68,13.52,11.52,10.58,9.68,8.82,8,8,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,8,8.82,9.68,0.18,0.08,0.08,0.02,0.02,0,0,0,0.08,8.82,9.68,8.82,8.82,8.82,8,8,8,8,8,8,8,8.82,8.82,9.68,11.52,16.82,35.28,38.72,10.58,0.72,0.5,0.32,0.32,0.32,0.32,0.5,0.72,36.98,38.72,40.5,10.58,9.68,8.82,8,8,8.82,10.58,11.52,9.68,9.68,8.82,8.82,8.82,8.82,8.82,8,8,8.82,8.82,8.82,10.58,11.52,10.58,10.58,9.68,9.68,9.68,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,9.68,11.52,20.48,38.72,16.82,14.58,13.52,11.52,11.52,10.58,9.68,9.68,9.68,8.82,8.82,8.82,8.82,9.68,9.68,9.68,9.68,10.58,10.58,12.5,14.58,11.52,10.58,10.58,9.68,9.68,9.68,8.82,8.82,11.52,11.52,11.52,10.58,9.68,8.82,8.82,8.82,8.82,9.68,23.12,18,15.68,14.58,12.5,11.52,10.58,10.58,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,10.58,10.58,11.52,12.5,15.68,14.58,12.5,11.52,11.52,10.58,9.68,9.68,9.68,8.82,8.82,8.82,9.68,9.68,9.68,10.58,11.52,12.5,30.42
6.48,2.42,1.62,0.98,0.72,0.5,0.5,0.5,0.32,0.32,0.32,0.32,0.18,0.18,0.18,0.32,0.32,0.5,0.5,0.5,0.5,0.98,40.5,38.72,36.98,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,14.58,14.58,14.58,14.58,13.52,13.52,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0,0.18,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.32,0.32,0.18,0.18,0.18,0.18,0.08,0.08,0.08,13.52,13.52,13.52,13.52,13.52,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,12.5,12.5,13.52,13.52,13.52,12.5,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.62,0.98,0.72,0.32,0.18,0.18,0.08,0.08,0.08,0.02,0.02,0,0,0,0.02,0.02,0.02,0.08,0.18,0.32,0.72,11.52,0.02,0.02,0.02,0.02,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,10.58,10.58,10.58,12.5,1.62,0.72,0.5,0.32,0.18,0.18,0.02,0.02,0.02,0,0,0,0,0,0,0,0.02,0.02,0.08,0.18,7.22,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.08,0.18,0.72
0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.5,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1
32,34,34,34,34,34,34,33,35,34,34,35,39,39,36,33,32,31,30,32,34,34,5,5,5,16,16,24,24,24,25,36,37,35,35,23,22,22,22,23,23,32,31,33,35,35,36,39,45,45,39,30,26,29,30,30,30,31,37,46,47,47,32,33,35,34,34,35,37,38,36,24,23,23,23,23,32,31,32,35,35,35,36,37,37,36,36,24,24,23,23,23,24,31,32,34,35,35,36,37,41,47,36,36,36,36,36,36,36,36,37,39,37,38,37,37,35,34,34,35,34,35,35,26,30,33,35,36,37,36,36,39,37,38,35,34,31,25,25,25,24,38,38,37,37,37,36,37,40,39,40,40,40,39,38,37,35,34,35,35,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.028284,0.351,0.53535,0.6502,0.628,0.5989,0.75213,0.81623,0.76033,0.79677,0.76702,0.6706,0.86705,0.89256,0.73896,0.49315,0.62494,0.70983,0.73681,0.68339,0.62417,0.20651,0.070711,0.49044,0.63299,0.81081,0.69833,0.7915,0.5063,0.48757,0.53826,0.52797,0.28517,0.44836,0.48658,0.21213,0.3828,0.24331,0.2318,0.73267,0.62748,0.84852,0.6632,0.68732,0.47561,0.54687,0.57963,0.57133,0.38199,0,0.21572,0.45127,0.59926,0.71981,0.4877,0.51372,0.56505,0.39105,0.70836,0.75065,0.52064,0.16971,0.3637,0.65463,0.52572,0.46904,0.49806,0.37592,0.49404,0.38063,0.26394,0.11314,0.59341,0.63129,0.77949,0.32517,0.76326,0.69191,0.7663,0.65798,0.52544,0.6463,0.53504,0.53392,0.57371,0.60724,0.47481,0.48539,0.60078,0.65432,0.66493,0.51029,0.64477,0.76138,0.62146,0.7331,0.46678,0.55364,0.58255,0.60823,0.54278,0.3189,0.35238,0.65164,0.56868,0.69926,0.70786,0.68455,0.8485,0.83903,0.85856,0.76819,0.72372,0.72924,0.75223,0.77633,0.70734,0.59766,0.74548,0.72033,0.67001,0.57559,0.2795,0.11314,0.57959,0.51938,0.82008,0.64146,0.49413,0.50499,0.58448,0.71427,0.65088,0.531,0.56461,0.69865,0.91336,0.73184,0.70809,0.61455,0.1562,0.18429,0.59927,0.59856,0.564,0.81075,0.68663,0.851,0.68693,0.62652,0.61427,0.62712,0.7371,0.49716,0.48409,0.56743,0.61367,0.37565,0.73043,0.73369,0.51762,0.27592,0.21893,0.707,0.72357,0.48019,0.53184,0.69382,0.61195,0.74755,0.72475,0.59892,0.6596,0.7405,0.64527,0.80055,0.77153,0.73159,0.63118,0.40289
0,0.0020792,0.01434,0.023005,0.031796,0.026655,0.0050135,0.0096486,0.0080922,0.0064551,0.003518,-0.0021424,-0.0028596,-0.0057478,-0.0036646,0.0015421,0.0058732,0.010307,0.0054998,-0.00070731,0.0055355,-0.0042713,0,0.00078933,0.010098,-0.0082903,-0.010647,0.0018732,0.020402,0.021574,-0.005821,-0.0068326,-0.016438,-0.0003238,-0.017433,0,0.0099247,-0.013713,-0.01367,0.014388,-0.00024229,-0.006497,-0.0040772,-0.0018031,0.0090531,0.020563,0.004526,-0.0028351,-0.010757,0,-0.012921,1.5332e-06,0.011403,-0.0073428,0.014924,0.032443,0.033915,-0.0083771,-0.020303,0.0074383,0.010682,0,0.01037,-0.0039718,-0.0027839,0.033519,0.013356,-0.0040708,0.0010556,-0.0030911,-0.0012514,0,0.0044713,-0.013744,-0.0063862,-0.01125,-0.00024408,-0.00062832,-0.00015862,-0.0063653,0.023135,0.035683,0.037567,0.0069012,-0.010352,-0.00098404,-0.0022046,-0.009716,0.014072,0.0047813,-0.0050557,-0.012188,-0.002047,-0.0047743,-0.0028244,-0.01136,0.008713,0.04873,0.024223,0.0081969,-0.010222,0.00019582,0.0077321,0.019488,0.029297,0.016715,0.002747,0.0021388,-0.0039579,0.0010164,0.00025017,-0.00072332,-0.0060127,-0.010167,-0.008423,-0.0062484,-0.0057976,-0.0034107,0.014256,0.0079923,0.0067411,0.0045934,-0.016677,0,-0.013915,-0.0088365,0.0034841,-0.0049426,0.047889,0.045061,0.0055779,-0.013229,0.01008,0.011716,0.0081109,-0.0029338,-0.0023297,0.01044,0.010276,0.0097673,-0.013882,0.0017525,0.0074692,0.017781,0.028524,0.0035911,0.0051733,-0.0031277,0.00044416,-0.0013044,0.0092967,0.0011423,8.142e-05,-0.0060378,0.00099205,0.00017867,0.00044506,0.0059785,0.011118,0.0079203,0.0010579,0.012081,-0.0097284,0.0063884,0.0033663,0.0041497,0.0025781,-0.0022276,-0.00027637,0.0044069,0.000993,0.0039872,0.0098314,0.0066915,0.012305,0.011943,0.018127,0.012658,-0.0054843,-0.0059849
0.02,0.047998,0.044976,0.062469,0.089641,0.080605,0.037595,0.039193,0.040697,0.036059,0.034667,0.029867,0.03219,0.030152,0.034325,0.030326,0.030675,0.034702,0.040517,0.035874,0.028284,0.033598,0.02,0.021738,0.038515,0.031314,0.039319,0.033458,0.066473,0.08184,0.044699,0.034051,0.044918,0.038024,0.050355,0.02,0.03,0.03,0.03,0.039356,0.02099,0.032613,0.032214,0.034709,0.059322,0.075632,0.040823,0.040028,0.039332,0,0.03,0.031158,0.040216,0.032373,0.063027,0.098754,0.10435,0.078522,0.04945,0.024533,0.034215,0.02,0.032316,0.033736,0.049207,0.12082,0.045141,0.041383,0.026998,0.036405,0.022608,0.02,0.03,0.03,0.03,0.03,0.029703,0.032241,0.030802,0.042586,0.087456,0.10962,0.13098,0.04015,0.038791,0.03299,0.028408,0.03,0.03,0.03,0.03,0.03,0.038249,0.038618,0.030508,0.035131,0.064886,0.17288,0.077747,0.049995,0.043057,0.020676,0.043187,0.054925,0.080448,0.055933,0.0366,0.040855,0.031259,0.031565,0.034329,0.033441,0.042345,0.045326,0.044002,0.041816,0.047635,0.039194,0.044088,0.033777,0.042262,0.040268,0.050291,0.02,0.046127,0.0475,0.03151,0.037091,0.19715,0.15817,0.056882,0.039119,0.040479,0.0523,0.040381,0.038168,0.025898,0.031431,0.029798,0.029725,0.03,0.026729,0.037688,0.061694,0.092418,0.034959,0.0567,0.031887,0.038319,0.046019,0.032996,0.036683,0.039162,0.041222,0.029084,0.029494,0.032514,0.03521,0.039964,0.040499,0.044496,0.03,0.049765,0.036074,0.034022,0.041645,0.035513,0.032268,0.034404,0.037945,0.033708,0.033852,0.044607,0.037403,0.057274,0.038811,0.052489,0.047088,0.033219,0.045233
