23.522,40.134,57.537,66.687,71.716,71.254,54.239,42.373,32.97,30.836,26.433,25.299,21.716,19,21.448,21.299,30.985,36.373,43.672,45.119,105.45,147.46,161.01,162.58,153.96,121.72,23.776,10.597,5.9254,15.463,51.761,75.313,91.627,95.045,82.582,25.284,15.627,14.343,11.597,8.6866,7.7761,7.7761,8.0299,14.985,16.552,26.552,78.313,94.567,100.67,98.209,83.209,53.478,14.388,16.582,8.2985,21.239,30.03,29.358,37.493,37.821,34.403,26.478,16.418,15.433,25.06,34.94,93.627,114.66,117.22,111.78,90.433,28.269,13.448,9.4776,8.4179,18.224,25.343,44.672,128.9,162.25,171.51,153.66,116.73,20.642,14.09,13.522,6.8358
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13433,0.19403,0.26866,0.29851,0.32836,0.35821,0.26866,0.20896,0.16418,0.16418,0.13433,0.13433,0.1194,0.10448,0.1194,0.1194,0.1791,0.19403,0.23881,0.23881,0.59701,0.68657,0.68657,0.70149,0.71642,0.71642,0.13433,0.059701,0.044776,0.089552,0.29851,0.35821,0.40299,0.43284,0.43284,0.13433,0.074627,0.074627,0.059701,0.044776,0.044776,0.044776,0.044776,0.089552,0.089552,0.14925,0.43284,0.43284,0.43284,0.43284,0.41791,0.34328,0.074627,0.10448,0.044776,0.1194,0.16418,0.14925,0.19403,0.1791,0.16418,0.13433,0.10448,0.089552,0.13433,0.1791,0.50746,0.53731,0.52239,0.52239,0.47761,0.16418,0.074627,0.059701,0.059701,0.10448,0.13433,0.23881,0.68657,0.73134,0.76119,0.71642,0.68657,0.1194,0.074627,0.074627,0.044776
11.701,10.09,8.597,7.8955,7.2239,6.5821,6.5821,5.9701,5.9701,5.3881,5.3881,5.3881,5.3881,5.3881,5.3881,5.3881,5.3881,5.3881,5.3881,5.9701,5.9701,5.9701,5.9701,5.3881,4.8358,4.8358,46.806,57.373,5.3881,4.8358,5.3881,5.3881,5.3881,4.8358,4.8358,5.9701,26.328,26.328,27.597,27.597,27.597,26.328,25.09,5.3881,5.3881,5.3881,4.8358,4.8358,4.8358,4.8358,5.3881,5.9701,25.09,1.806,1.806,0.014925,0,0,0.014925,0.014925,0.014925,0.059701,0.13433,6.5821,5.9701,5.9701,0.059701,0.014925,0.059701,0.059701,0.23881,5.3881,26.328,27.597,0.23881,0.13433,0.059701,0.059701,0.014925,0,0,0,0,0,27.597,27.597,28.896
13.433,11.701,9.3284,8.597,7.8955,7.2239,6.5821,6.5821,6.5821,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,0.059701,0.014925,0.014925,0,0,0,0.014925,0.014925,0.014925,0.014925,0.014925,0.014925,0.014925,30.224,27.597,11.701,8.597,6.5821,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,6.5821,6.5821,7.2239,7.8955,7.8955,8.597,9.3284,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,6.5821,6.5821,41.925,40.358,40.358,41.925,41.925,43.522,45.149,46.806,48.493,6.5821,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,5.9701,5.3881,5.3881,5.9701,5.9701,5.9701,0.73134,0.73134,5.3881,5.3881,5.3881,5.3881,5.3881,5.9701
0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0,0.2,0.2,0.1,0.1,0.1
33,33,34,34,34,34,35,34,34,34,35,35,34,35,34,36,42,41,40,41,44,44,44,43,43,43,62,65,21,22,30,32,33,33,33,39,45,45,46,45,45,44,43,32,32,30,33,33,33,33,34,35,44,31,13,9,8,7,8,8,7,7,7,34,35,34,29,27,28,28,30,40,45,46,27,23,19,18,25,25,27,25,25,0,0,0,0
0.23804,0.35913,0.48218,0.41108,0.38379,0.55026,0.59859,0.54955,0.46799,0.62115,0.47161,0.53768,0.54206,0.49886,0.53428,0.54618,0.51996,0.51265,0.58837,0.535,0.46657,0.27729,0.20649,0.23162,0.22981,0.36811,0.51552,0.22783,0.10159,0.51967,0.46246,0.38986,0.37009,0.36375,0.37934,0.62262,0.38986,0.63913,0.5155,0.32734,0.50069,0.31462,0.37798,0.33129,0.34132,0.47681,0.41075,0.30787,0.33889,0.38803,0.29076,0.50229,0.37319,0.26779,0.41479,0.45063,0.52326,0.40681,0.52752,0.41254,0.51415,0.35038,0.20635,0.45444,0.55219,0.51967,0.52972,0.4551,0.45131,0.47737,0.40565,0.55705,0.49506,0.3067,0.22438,0.29948,0.408,0.50227,0.41095,0.38975,0.41249,0.28574,0.36747,0.58116,0.36899,0.39635,0.12517
0.00027185,0.012814,0.016993,0.019342,0.022617,0.005105,0.0090446,0.0065851,-0.00030481,0.0054221,0.0061685,0.0012406,0.00061901,0.0025985,0.00078969,0.00013848,-0.0016383,0.00061152,0.00075596,0.0030387,-0.0061625,0.0039217,0.037837,0.040328,0.03022,-0.012417,-0.0047212,0.00424,-0.0082948,0.00076376,-0.0077898,0.012597,0.027544,0.0331,-0.0055215,0.0020503,0.0013842,0.006118,0.0082798,-0.0059262,0.010385,-0.0068385,0.0048812,0.0043908,-0.0044077,-0.003257,-0.0010785,0.026008,0.038716,0.033503,0.007992,-0.020126,0.0041392,-0.0011099,-0.0093223,0.0003376,0.0034207,0.0085983,0.0060987,0.013707,0.020595,0.01744,-0.00029432,-0.0027391,0.0051323,0.0029609,-0.0074888,0.022432,0.025177,0.022729,0.0014926,-0.0040889,0.0026064,0.0015486,-0.0081669,-0.0010731,-0.0016019,0.0059783,-0.0081828,0.036781,0.032279,0.029212,-0.0041197,0.0013643,0.0054196,0.0056765,0.010385
0.02335,0.036965,0.053463,0.056983,0.069773,0.025885,0.03267,0.027584,0.023488,0.022646,0.028268,0.028971,0.026097,0.025831,0.026873,0.02828,0.029453,0.022934,0.024846,0.032934,0.03489,0.03299,0.18296,0.18322,0.13298,0.047483,0.021161,0.020726,0.022388,0.026655,0.035309,0.045278,0.091839,0.11269,0.042371,0.023798,0.027634,0.026117,0.030861,0.022388,0.022388,0.022388,0.022388,0.021352,0.029444,0.030167,0.034023,0.10615,0.14405,0.11451,0.069285,0.048902,0.018884,0.032158,0.022388,0.043085,0.024214,0.034914,0.027926,0.036067,0.057528,0.043053,0.020822,0.029184,0.025322,0.023776,0.028381,0.07223,0.072916,0.063684,0.043797,0.025745,0.029862,0.025082,0.025799,0.0341,0.033863,0.032355,0.032144,0.13085,0.10278,0.15361,0.037606,0.019573,0.018263,0.020618,0.022388
15.978,6.8791,4.2982,3.0095,3.1818,4.4867,5.5906,6.9619,9.0303,11.197,11.644,13.333,16.25,18.286,16.75,17.028,12.615,9.6484,8.4853,7.7721,3.8232,1.7114,0.87142,0.96809,1.6369,3.4736,15.6,31,61.333,23.524,7.7714,3.58,1.9735,2.3609,4.2805,13.356,15.2,20.933,24.3,30.5,40.667,40.667,37.833,25.048,20.048,14.018,4.9379,2.4345,1.4943,1.8736,3.8547,8.2681,20.733,24.071,34.833,17.139,12.015,10.6,8.8242,6.7436,7.5758,11.578,24.464,23.619,13.689,9.2179,4.0286,2.2492,1.7,2.2794,3.9792,13.803,24.933,38.5,45.6,20.143,13.267,7.9926,2.8622,1.3257,1.1418,1.6539,3.6161,18.25,22.067,24.6,51.167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
